OncotreeLineage,n_query_cna,n_query_damaging_mutation,n_query_expression,n_query_hotspot_mutation,n_episodes
Lung,0.0,0.4727272727272727,12.10909090909091,0.01818181818181818,55
Lymphoid,0.0,1.0555555555555556,12.703703703703704,0.037037037037037035,54
Bowel,0.0,0.55,11.775,0.0,40
CNS/Brain,0.0,0.6578947368421053,12.078947368421053,0.0,38
Bone,0.0,1.0606060606060606,12.727272727272727,0.030303030303030304,33
Esophagus/Stomach,0.0,0.0,11.866666666666667,0.0,30
Uterus,0.0,0.10344827586206896,11.689655172413794,0.0,29
Thyroid,0.0,0.2608695652173913,11.73913043478261,0.0,23
Bladder/Urinary Tract,0.0,0.043478260869565216,11.478260869565217,0.0,23
Head and Neck,0.0,0.043478260869565216,10.869565217391305,0.0,23
Soft Tissue,0.0,0.5,12.454545454545455,0.0,22
Breast,0.0,0.2857142857142857,13.0,0.047619047619047616,21
Skin,0.0,0.7368421052631579,11.157894736842104,0.0,19
Liver,0.0,0.4666666666666667,11.466666666666667,0.06666666666666667,15
Myeloid,0.0,0.0,14.466666666666667,0.0,15
Peripheral Nervous System,0.0,0.0,12.083333333333334,0.0,12
Ovary/Fallopian Tube,0.0,1.5454545454545454,11.909090909090908,0.0,11
Kidney,0.0,1.1818181818181819,11.363636363636363,0.0,11
Pancreas,0.0,0.0,9.8,0.0,10
Testis,0.0,0.75,14.5,0.0,8
Cervix,0.0,0.0,11.2,0.0,5
Pleura,0.0,0.0,13.0,0.0,3
