episode_id,cell_line_id,step,action_type,gene,modality,observed_value,gene_true_rank,n_queries_so_far,cumulative_query_cost,cumulative_reward
0,ACH-000417,0,query,ERCC3,expression,0.9990615692537035,1,1,0.02,-0.02
0,ACH-000417,1,query,MYT1,expression,0.04184859917872041,9,2,0.04,-0.04
0,ACH-000417,2,query,HYDIN,expression,0.2505976019054414,4,3,0.06,-0.06
0,ACH-000417,3,query,CTNNB1,expression,0.3484006941629424,3,4,0.08,-0.08
0,ACH-000417,4,query,PRL,expression,-0.021218597070165324,12,5,0.1,-0.1
0,ACH-000417,5,query,DXO,expression,0.07698720096895115,6,6,0.12000000000000001,-0.12000000000000001
0,ACH-000417,6,query,DIS3,expression,0.7349512098587564,2,7,0.14,-0.14
0,ACH-000417,7,query,AGXT2,expression,-0.08952434029558168,13,8,0.16,-0.16
0,ACH-000417,8,select,ERCC3,,,1,8,0.16,0.8112048192702762
1,ACH-000552,0,query,ARID2,expression,0.3859228877231934,3,1,0.02,-0.02
1,ACH-000552,1,query,KIF18A,expression,1.373070628744392,1,2,0.04,-0.04
1,ACH-000552,2,query,SCG2,expression,0.021013618209086194,14,3,0.06,-0.06
1,ACH-000552,3,query,FLT3,expression,0.13563758656725916,6,4,0.08,-0.08
1,ACH-000552,4,query,ZNF680,expression,0.05678394494451964,15,5,0.1,-0.1
1,ACH-000552,5,query,SLC25A32,expression,0.01542768893071389,16,6,0.12000000000000001,-0.12000000000000001
1,ACH-000552,6,query,COL21A1,expression,-0.01906715122486347,7,7,0.14,-0.14
1,ACH-000552,7,query,CNOT9,expression,0.5235084723132509,2,8,0.16,-0.16
1,ACH-000552,8,select,KIF18A,,,1,8,0.16,3.2160423938541425
2,ACH-000172,0,query,SDHA,expression,0.30397613865465156,5,1,0.02,-0.02
2,ACH-000172,1,query,SIAE,expression,-0.2068399356398417,15,2,0.04,-0.04
2,ACH-000172,2,query,CD55,expression,0.03970510513220979,7,3,0.06,-0.06
2,ACH-000172,3,query,MYD88,expression,-0.02613530896599716,4,4,0.08,-0.08
2,ACH-000172,4,query,CHD4,expression,1.1281913692360472,1,5,0.1,-0.1
2,ACH-000172,5,query,ZNF570,expression,-0.13445879262327878,6,6,0.12000000000000001,-0.12000000000000001
2,ACH-000172,6,query,TRIML2,expression,-0.09723442685414943,11,7,0.14,-0.14
2,ACH-000172,7,query,ZFAND1,expression,-0.06739833368023927,8,8,0.16,-0.16
