OncotreeLineage,n_query_cna,n_query_damaging_mutation,n_query_expression,n_query_hotspot_mutation,n_episodes
Lung,4.381818181818182,4.6,4.581818181818182,3.690909090909091,55
Lymphoid,4.814814814814815,4.055555555555555,4.611111111111111,3.6296296296296298,54
Bowel,4.3,4.025,4.225,3.325,40
CNS/Brain,4.184210526315789,4.078947368421052,3.9473684210526314,3.3684210526315788,38
Bone,4.96969696969697,5.454545454545454,4.96969696969697,4.484848484848484,33
Esophagus/Stomach,4.133333333333334,4.366666666666666,4.233333333333333,3.1666666666666665,30
Uterus,4.827586206896552,4.655172413793103,4.482758620689655,3.7241379310344827,29
Thyroid,4.260869565217392,3.1739130434782608,3.217391304347826,2.869565217391304,23
Bladder/Urinary Tract,4.086956521739131,3.217391304347826,3.9565217391304346,2.9565217391304346,23
Head and Neck,4.304347826086956,4.391304347826087,4.565217391304348,3.3043478260869565,23
Soft Tissue,4.590909090909091,4.409090909090909,4.181818181818182,3.0454545454545454,22
Breast,4.523809523809524,4.666666666666667,4.428571428571429,3.2857142857142856,21
Skin,4.578947368421052,3.6842105263157894,4.315789473684211,3.0526315789473686,19
Liver,4.733333333333333,3.933333333333333,4.2,3.7333333333333334,15
Myeloid,5.0,4.8,4.466666666666667,3.6666666666666665,15
Peripheral Nervous System,4.166666666666667,3.9166666666666665,4.666666666666667,3.3333333333333335,12
Ovary/Fallopian Tube,5.909090909090909,6.454545454545454,6.0,5.181818181818182,11
Kidney,4.454545454545454,3.8181818181818183,5.636363636363637,3.8181818181818183,11
Pancreas,4.9,3.3,5.0,3.9,10
Testis,5.0,5.75,4.375,4.125,8
Cervix,4.2,4.2,3.6,2.6,5
Pleura,4.333333333333333,4.666666666666667,5.333333333333333,6.333333333333333,3
