episode_id,cell_line_id,selected_gene,selected_dependency,dependency_regret,hit_at_k,n_queries,query_cost,total_reward,n_query_cna,n_query_damaging_mutation,n_query_expression,n_query_hotspot_mutation,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype
250,ACH-000244,MED12,-0.0660846623534212,2.400134117810188,0.0,16,0.32,-0.2539153376465788,3,4,7,2,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype"
92,ACH-001205,TENT4B,-0.0688169435594803,2.338581499879264,0.0,10,0.1999999999999999,-0.1311830564405197,3,2,4,1,Bone,Ewing Sarcoma,Ewing Sarcoma
64,ACH-002142,RABGAP1,-0.0029192784616445,2.31623444205342,0.0,9,0.18,-0.1770807215383555,1,2,6,0,Bone,Osteosarcoma,Osteosarcoma
322,ACH-001205,RHOA,-0.1794118833419488,2.227986560096795,0.0,8,0.16,0.0194118833419487,1,1,5,1,Bone,Ewing Sarcoma,Ewing Sarcoma
376,ACH-000172,SMC5,-0.4503075427951832,2.211595636469561,0.0,9,0.18,0.2703075427951832,2,2,5,0,Soft Tissue,Rhabdoid Cancer,Extrarenal Rhabdoid Cancer
248,ACH-000290,DENND4C,0.1088458557080752,2.1642245015465518,0.0,9,0.18,-0.2888458557080752,1,2,6,0,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer
13,ACH-000390,BAP1,-0.2232197913113063,2.113183210140863,0.0,12,0.2399999999999999,-0.0167802086886936,3,2,6,1,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma
179,ACH-000403,MEF2C,-0.0877998995331068,2.060301308777083,0.0,10,0.1999999999999999,-0.1122001004668931,1,3,6,0,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma
168,ACH-000581,RAC1,-0.2215720423731776,2.028356446810474,0.0,8,0.16,0.0615720423731775,2,1,4,1,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma
422,ACH-000290,BRIP1,-0.1314492020529352,1.9130719966925,0.0,14,0.2799999999999999,-0.1485507979470647,4,3,7,0,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer
177,ACH-002693,DUSP16,0.5754473581137755,1.907895723279668,0.0,12,0.2399999999999999,-0.8154473581137754,4,2,6,0,Peripheral Nervous System,Nerve Sheath Tumor,Malignant Peripheral Nerve Sheath Tumor
242,ACH-001737,CDC25A,-0.0684128127333217,1.872900896818953,0.0,8,0.16,-0.0915871872666783,3,1,4,0,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Cell Acute Lymphoblastic Leukemia
132,ACH-002291,HDAC2,0.3095974285114855,1.851735536690612,0.0,13,0.2599999999999999,-0.5695974285114854,4,3,6,0,Testis,Non-Seminomatous Germ Cell Tumor,Embryonal Carcinoma
305,ACH-000469,FOXL2,-0.181847017629743,1.7779671567208537,0.0,11,0.2199999999999999,-0.0381529823702569,2,2,5,2,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype"
485,ACH-000478,BRAF,-0.0887593990982557,1.7075344399144212,0.0,10,0.1999999999999999,-0.1112406009017442,2,3,5,0,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma
205,ACH-002705,RGP1,-0.3188431597864629,1.7006209157917,0.0,8,0.16,0.1588431597864628,3,1,4,0,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Esophageal Adenocarcinoma
29,ACH-000697,PIK3CB,-0.0182025756212301,1.6843369503501464,0.0,14,0.2799999999999999,-0.2617974243787698,4,4,6,0,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS"
166,ACH-000907,CDC25A,-0.2061185679974294,1.624109964933945,0.0,11,0.2199999999999999,-0.0138814320025705,2,2,6,1,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma
464,ACH-000097,CNOT1,-0.0885460020671405,1.5870821246317006,0.0,8,0.16,-0.0714539979328595,1,2,4,1,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma
412,ACH-000376,ASCC3,-0.0747913746971457,1.5370540344264056,0.0,13,0.2599999999999999,-0.1852086253028542,3,4,6,0,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype"
