episode_id,cell_line_id,step,action_type,gene,modality,observed_value,gene_true_rank,n_queries_so_far,cumulative_query_cost,cumulative_reward
0,ACH-000417,0,query,CTNNB1,damaging_mutation,0.25138230957425706,3,1,0.02,-0.02
0,ACH-000417,1,query,ABCC10,expression,0.13650671980264864,5,2,0.04,-0.04
0,ACH-000417,2,query,DIS3,cna,0.7254793775111372,2,3,0.06,-0.06
0,ACH-000417,3,query,SIAE,expression,-0.20531415958794294,15,4,0.08,-0.08
0,ACH-000417,4,query,NRCAM,cna,-0.003344797213043982,8,5,0.1,-0.1
0,ACH-000417,5,query,CDKN2A,expression,-0.20373531375738407,16,6,0.12000000000000001,-0.12000000000000001
0,ACH-000417,6,query,FAT1,expression,-0.0682684784236836,11,7,0.14,-0.14
0,ACH-000417,7,query,ERCC3,hotspot_mutation,1.018290545226147,1,8,0.16,-0.16
0,ACH-000417,8,select,DIS3,,,2,8,0.16,0.4037671116974819
1,ACH-000552,0,query,FLT3,damaging_mutation,0.15897553188505084,6,1,0.02,-0.02
1,ACH-000552,1,query,IDH2,expression,0.019752424891062118,12,2,0.04,-0.04
1,ACH-000552,2,query,COL21A1,cna,-0.01966504328580763,7,3,0.06,-0.06
1,ACH-000552,3,query,ZNF680,expression,0.05678394494451964,15,4,0.08,-0.08
1,ACH-000552,4,query,NEFM,expression,-0.0883712605551933,13,5,0.1,-0.1
1,ACH-000552,5,query,TOP2B,expression,-0.011413940568366948,8,6,0.12000000000000001,-0.12000000000000001
1,ACH-000552,6,query,AGAP1,expression,0.028249042166424702,5,7,0.14,-0.14
1,ACH-000552,7,query,PARD6A,damaging_mutation,,11,8,0.16,-0.16
1,ACH-000552,8,query,H3-3B,cna,0.3410263748929121,4,9,0.18,-0.18
1,ACH-000552,9,query,SLC25A32,expression,0.01542768893071389,16,10,0.19999999999999998,-0.19999999999999998
1,ACH-000552,10,query,TERT,damaging_mutation,0.06444967917938002,9,11,0.21999999999999997,-0.21999999999999997
1,ACH-000552,11,query,ARID2,hotspot_mutation,,3,12,0.23999999999999996,-0.23999999999999996
1,ACH-000552,12,query,SCG2,cna,0.026747520326199016,14,13,0.25999999999999995,-0.25999999999999995
1,ACH-000552,13,query,CNOT9,expression,0.5235084723132509,2,14,0.27999999999999997,-0.27999999999999997
1,ACH-000552,14,select,CNOT9,,,2,14,0.27999999999999997,0.4444098833026274
2,ACH-000172,0,query,MYD88,damaging_mutation,-0.02150201460299592,4,1,0.02,-0.02
2,ACH-000172,1,query,ZNF823,expression,-0.055442721878548075,13,2,0.04,-0.04
2,ACH-000172,2,query,TRIML2,cna,-0.07610916942742074,11,3,0.06,-0.06
2,ACH-000172,3,query,CHD4,expression,1.1281913692360472,1,4,0.08,-0.08
2,ACH-000172,4,query,AKT1,cna,0.08813506303898286,9,5,0.1,-0.1
2,ACH-000172,5,query,SIAE,cna,-0.20489194190523274,15,6,0.12000000000000001,-0.12000000000000001
2,ACH-000172,6,query,PTP4A3,expression,0.08309620191350386,12,7,0.14,-0.14
2,ACH-000172,7,query,CD55,hotspot_mutation,,7,8,0.16,-0.16
2,ACH-000172,8,select,CHD4,,,1,8,0.16,1.073692748925548
3,ACH-000422,0,query,VWA5A,damaging_mutation,-0.17894285295436982,16,1,0.02,-0.02
3,ACH-000422,1,query,MYBPC3,cna,0.08389071295215281,5,2,0.04,-0.04
3,ACH-000422,2,query,MYC,expression,1.460968761590273,1,3,0.06,-0.06
3,ACH-000422,3,query,SAMD9L,cna,0.09299005362346174,15,4,0.08,-0.08
3,ACH-000422,4,query,PATL1,cna,0.04761809934843371,13,5,0.1,-0.1
3,ACH-000422,5,query,GNAS,hotspot_mutation,0.033176571530057215,10,6,0.12000000000000001,-0.12000000000000001
3,ACH-000422,6,query,DNAJA4,hotspot_mutation,,12,7,0.14,-0.14
3,ACH-000422,7,query,POT1,cna,0.4437384041128938,4,8,0.16,-0.16
3,ACH-000422,8,select,MYC,,,1,8,0.16,1.9244826507822121
4,ACH-000845,0,query,ILDR1,damaging_mutation,0.001152908123520122,8,1,0.02,-0.02
