episode_id,cell_line_id,selected_gene,selected_index,selected_dependency,query_cost,n_queries,total_reward,n_query_cna,n_query_damaging_mutation,n_query_expression,n_query_hotspot_mutation
0,ACH-000417,DIS3,11,-0.563767111697482,0.16,8,0.4037671116974819,2,1,4,1
1,ACH-000552,CNOT9,4,-0.7244098833026273,0.27999999999999997,14,0.4444098833026274,3,3,7,1
2,ACH-000172,CHD4,9,-1.2336927489255478,0.16,8,1.073692748925548,3,1,3,1
3,ACH-000422,MYC,9,-2.084482650782212,0.16,8,1.9244826507822121,4,1,1,2
4,ACH-000845,CHD4,12,-0.7769531642632684,0.16,8,0.6169531642632684,3,1,4,0
5,ACH-000444,DHPS,8,-1.284714993462327,0.16,8,1.124714993462327,4,1,2,1
6,ACH-002055,SMARCB1,9,-1.1161455436307226,0.16,8,0.9561455436307226,3,1,2,2
7,ACH-000302,EIF1AX,8,-2.678016289084915,0.16,8,2.518016289084915,4,1,1,2
8,ACH-001205,TRAPPC8,10,-1.3488439380027129,0.19999999999999998,10,1.148843938002713,2,2,6,0
9,ACH-001528,RAC1,9,-0.8978636403728549,0.16,8,0.7378636403728549,1,1,5,1
10,ACH-000478,H3-3A,14,-1.796293839012677,0.18,9,1.616293839012677,2,2,5,0
11,ACH-001307,CDK4,0,-0.9007124099543106,0.21999999999999997,11,0.6807124099543106,2,2,7,0
12,ACH-000959,MYH9,8,-0.922213234143439,0.18,9,0.7422132341434391,3,2,4,0
13,ACH-000390,BAP1,10,-0.2232197913113063,0.23999999999999996,12,-0.016780208688693676,3,2,6,1
14,ACH-000915,NCAPD2,11,-0.9890518222404616,0.16,8,0.8290518222404616,1,3,4,0
15,ACH-000223,KCNK9,11,0.0315247158847101,0.25999999999999995,13,-0.2915247158847101,3,3,7,0
16,ACH-000097,VHL,15,-0.5815710650644348,0.16,8,0.42157106506443476,1,2,4,1
17,ACH-000323,EIF1AX,8,-2.2139732514964847,0.16,8,2.0539732514964846,3,1,2,2
18,ACH-000172,CCND1,9,-0.9123303606210482,0.16,8,0.7523303606210482,3,1,2,2
19,ACH-001702,MAX,11,-0.8335965869592336,0.18,9,0.6535965869592335,4,2,2,1
20,ACH-000627,MED12,12,-0.5152115679512197,0.21999999999999997,11,0.2952115679512197,2,2,7,0
21,ACH-000272,EIF1AX,8,-1.1390970769714652,0.16,8,0.9790970769714652,2,1,3,2
22,ACH-000191,PPP2R1A,11,-1.459626209444615,0.16,8,1.2996262094446152,2,3,2,1
23,ACH-000552,SETD2,10,-0.6263519370065058,0.25999999999999995,13,0.36635193700650587,4,3,6,0
24,ACH-000097,POLE,5,-1.488831150147397,0.3,15,1.188831150147397,4,3,7,1
25,ACH-000371,ZNHIT6,8,-0.769741138589135,0.21999999999999997,11,0.549741138589135,3,2,4,2
26,ACH-002705,RFC5,5,-1.4207611324289109,0.21999999999999997,11,1.200761132428911,2,2,6,1
27,ACH-000030,H3-3A,11,-1.8741200531751503,0.16,8,1.7141200531751504,3,3,1,1
28,ACH-000011,BRCA1,9,-0.7222294381842663,0.16,8,0.5622294381842663,1,2,5,0
29,ACH-000697,PIK3CB,11,-0.0182025756212301,0.27999999999999997,14,-0.26179742437876985,4,4,6,0
30,ACH-001502,CUL3,14,-0.7775966895053337,0.21999999999999997,11,0.5575966895053337,3,3,5,0
31,ACH-000978,MED12,11,-0.3796026182914105,0.18,9,0.19960261829141052,2,2,3,2
32,ACH-000959,CNOT9,9,-0.6975203018511372,0.16,8,0.5375203018511372,1,1,5,1
33,ACH-000381,TRAPPC8,8,-0.9244750217013552,0.19999999999999998,10,0.7244750217013552,3,1,4,2
34,ACH-000435,RNF152,11,0.0950949067967496,0.27999999999999997,14,-0.37509490679674956,4,4,6,0
35,ACH-001054,POLE,1,-1.9576637284618617,0.16,8,1.7976637284618617,1,2,4,1
36,ACH-000144,PCBP1,9,-1.8443416735635787,0.16,8,1.6843416735635788,4,1,1,2
37,ACH-000422,ERCC3,12,-1.1951280963734892,0.16,8,1.0351280963734892,2,1,5,0
38,ACH-001054,SMARCA4,14,-0.2619200026291479,0.19999999999999998,10,0.0619200026291479,3,2,5,0
39,ACH-000541,DHPS,10,-0.5422572273362405,0.27999999999999997,14,0.2622572273362405,4,3,6,1
40,ACH-000381,CTCF,11,-2.018059979473116,0.16,8,1.858059979473116,2,3,1,2
41,ACH-001547,PPM1J,13,-0.3956181606762436,0.21999999999999997,11,0.17561816067624364,2,3,6,0
42,ACH-001791,SMC5,15,-1.1281995911779523,0.19999999999999998,10,0.9281995911779524,3,2,5,0
43,ACH-000390,RFC5,5,-0.9944569105316534,0.16,8,0.8344569105316534,2,2,4,0
44,ACH-000718,ACTB,5,-0.9924953555052118,0.23999999999999996,12,0.7524953555052118,3,3,6,0
45,ACH-001699,RICTOR,1,-0.1590757061526069,0.16,8,-0.0009242938473930928,3,1,4,0
46,ACH-001702,SF3B1,3,-1.5289177591742014,0.27999999999999997,14,1.2489177591742013,3,4,7,0
47,ACH-001502,SACS,11,0.0655413941071893,0.19999999999999998,10,-0.2655413941071893,2,3,5,0
48,ACH-000552,BAP1,11,-0.7913087710628597,0.18,9,0.6113087710628597,2,2,3,2
49,ACH-000191,SON,0,-0.9204689735687632,0.27999999999999997,14,0.6404689735687632,4,3,6,1
50,ACH-001431,ICE1,1,-0.7794955960681142,0.16,8,0.6194955960681142,2,1,4,1
51,ACH-000356,RAC1,15,-0.4376158569240434,0.19999999999999998,10,0.23761585692404344,3,1,4,2
52,ACH-001737,NCAPD2,12,-1.2292886273848118,0.16,8,1.069288627384812,2,1,5,0
53,ACH-003590,CRNKL1,4,-2.169330386960583,0.23999999999999996,12,1.9293303869605831,3,2,7,0
54,ACH-000371,NRCAM,11,0.0456132006806175,0.27999999999999997,14,-0.3256132006806175,3,4,7,0
55,ACH-000202,STIL,8,-0.2226327660348701,0.27999999999999997,14,-0.05736723396512988,4,3,6,1
56,ACH-001618,OXA1L,9,-0.648696595219618,0.19999999999999998,10,0.448696595219618,2,1,6,1
57,ACH-000435,TRRAP,2,-1.8557460968830697,0.21999999999999997,11,1.6357460968830697,3,4,4,0
58,ACH-000391,MYC,5,-2.498093946988168,0.23999999999999996,12,2.258093946988168,3,3,6,0
59,ACH-000637,XRCC5,12,-0.7996193882507213,0.16,8,0.6396193882507213,2,2,4,0
60,ACH-000915,ZNHIT6,12,-0.5661112348979077,0.16,8,0.4061112348979077,1,1,5,1
61,ACH-000541,OXA1L,12,-0.5430727553718191,0.18,9,0.3630727553718191,3,2,3,1
62,ACH-000541,KIF18A,1,-0.9781356037448176,0.16,8,0.8181356037448175,1,2,4,1
63,ACH-000030,ZC3H4,11,-0.3061625021435079,0.25999999999999995,13,0.04616250214350792,4,2,6,1
64,ACH-002142,RABGAP1,4,-0.0029192784616445,0.18,9,-0.1770807215383555,1,2,6,0
65,ACH-000581,UPF2,1,-1.5070602511137934,0.16,8,1.3470602511137935,2,1,4,1
66,ACH-000664,MTOR,4,-1.1224042086527506,0.19999999999999998,10,0.9224042086527506,1,3,6,0
67,ACH-000630,SF3B1,9,-1.653505515814791,0.16,8,1.4935055158147912,3,1,2,2
68,ACH-000290,SMARCA4,12,-0.8935993541163242,0.18,9,0.7135993541163241,2,1,6,0
69,ACH-000244,PTPN11,1,-1.4996855176741657,0.16,8,1.3396855176741658,3,1,3,1
70,ACH-002705,UPF2,2,-1.104537837562945,0.18,9,0.9245378375629452,2,3,4,0
71,ACH-000627,CRNKL1,8,-1.887053914645609,0.16,8,1.727053914645609,3,1,1,3
72,ACH-001699,HNF4G,12,0.1379248556457984,0.21999999999999997,11,-0.35792485564579835,3,2,5,1
73,ACH-000018,CHD4,5,-1.5445237450675986,0.16,8,1.3845237450675987,3,2,2,1
74,ACH-000128,RARS2,13,-0.8480263757760557,0.21999999999999997,11,0.6280263757760557,2,3,6,0
75,ACH-000391,XPO1,15,-2.1431936986674085,0.16,8,1.9831936986674086,0,3,3,2
76,ACH-000581,SON,14,-1.1742886265177634,0.16,8,1.0142886265177635,2,1,5,0
77,ACH-000381,PCBP1,15,-1.9453172367653624,0.16,8,1.7853172367653625,3,2,1,2
78,ACH-000323,ARID1A,12,0.1609439863951511,0.19999999999999998,10,-0.3609439863951511,1,3,6,0
79,ACH-001431,DICER1,3,-0.7245936727737676,0.21999999999999997,11,0.5045936727737677,3,2,6,0
80,ACH-000172,ANKRD11,12,-0.0901226829275209,0.18,9,-0.08987731707247909,2,1,6,0
81,ACH-000334,EIF2B3,11,-1.221313985194537,0.16,8,1.061313985194537,2,3,2,1
82,ACH-000637,MAX,0,-0.6871265780460886,0.19999999999999998,10,0.4871265780460886,2,2,6,0
83,ACH-001699,BRD4,11,-1.038241485242819,0.16,8,0.878241485242819,2,3,2,1
84,ACH-000202,TCFL5,11,0.3032883900207486,0.27999999999999997,14,-0.5832883900207486,4,3,6,1
85,ACH-001737,DHX15,13,-1.364271847635642,0.19999999999999998,10,1.164271847635642,1,3,6,0
86,ACH-000469,KIF18A,12,-1.815862000935063,0.16,8,1.655862000935063,3,1,4,0
87,ACH-000188,SF3B1,15,-1.2105053183985688,0.16,8,1.0505053183985689,2,2,1,3
88,ACH-000766,RFC5,1,-1.637049606799081,0.16,8,1.477049606799081,1,3,4,0
89,ACH-000188,NUP93,3,-1.583839550239516,0.18,9,1.403839550239516,2,3,4,0
90,ACH-002400,ERCC2,9,-1.362424418856379,0.16,8,1.202424418856379,2,2,2,2
91,ACH-000030,MED12,11,-0.5856373291593502,0.4000000000000001,20,0.1856373291593501,4,6,8,2
92,ACH-001205,TENT4B,12,-0.0688169435594803,0.19999999999999998,10,-0.1311830564405197,3,2,4,1
93,ACH-000961,SMC5,1,-0.8364779839093371,0.16,8,0.6764779839093371,2,1,4,1
94,ACH-000403,MED12,2,-0.7516171978432444,0.32,16,0.4316171978432444,3,4,7,2
95,ACH-000381,ERCC3,1,-1.2408333113143504,0.16,8,1.0808333113143505,2,1,4,1
96,ACH-000676,NDUFS1,11,-0.7176745876056503,0.19999999999999998,10,0.5176745876056503,3,2,4,1
97,ACH-001038,NCAPD2,2,-1.5105234142713149,0.19999999999999998,10,1.310523414271315,2,3,4,1
98,ACH-000961,SMC5,15,-0.8364779839093371,0.18,9,0.6564779839093371,1,3,3,2
99,ACH-001054,SON,2,-0.8184525253127403,0.23999999999999996,12,0.5784525253127403,2,4,6,0
100,ACH-000381,RFC5,5,-1.3096870223151686,0.23999999999999996,12,1.0696870223151687,3,2,6,1
101,ACH-001303,MTOR,8,-0.675580290534627,0.16,8,0.515580290534627,2,1,3,2
102,ACH-001528,OXA1L,1,-0.5400994709713711,0.16,8,0.3800994709713711,3,1,3,1
103,ACH-000550,CCND1,14,-1.0204893431461897,0.18,9,0.8404893431461897,3,1,5,0
104,ACH-000391,DHX15,11,-1.1974874047851325,0.16,8,1.0374874047851326,1,4,1,2
105,ACH-000444,POLE,11,-1.3529790160306836,0.16,8,1.1929790160306837,3,2,1,2
106,ACH-000191,BARD1,11,-0.2200827778268353,0.16,8,0.0600827778268353,3,1,4,0
107,ACH-000766,STIL,9,-0.1852255876574578,0.19999999999999998,10,-0.014774412342542176,2,2,5,1
108,ACH-000148,EP300,14,-0.6304744320845422,0.18,9,0.45047443208454224,2,2,5,0
109,ACH-000005,CTCF,8,-2.0529724980912167,0.16,8,1.8929724980912168,3,1,2,2
