OncotreeLineage,n_query_cna,n_query_damaging_mutation,n_query_expression,n_query_hotspot_mutation,n_episodes
Lung,0.0,1.1636363636363636,8.945454545454545,0.23636363636363636,55
Lymphoid,0.0,1.2592592592592593,8.75925925925926,0.24074074074074073,54
Bowel,0.0,1.175,9.2,0.25,40
CNS/Brain,0.0,1.2105263157894737,9.578947368421053,0.3157894736842105,38
Bone,0.030303030303030304,1.121212121212121,9.666666666666666,0.5757575757575758,33
Esophagus/Stomach,0.06666666666666667,1.1666666666666667,7.633333333333334,0.36666666666666664,30
Uterus,0.0,1.1724137931034482,8.758620689655173,0.20689655172413793,29
Thyroid,0.0,1.173913043478261,7.130434782608695,0.34782608695652173,23
Bladder/Urinary Tract,0.0,1.1304347826086956,6.608695652173913,1.1304347826086956,23
Head and Neck,0.0,1.173913043478261,9.173913043478262,0.13043478260869565,23
Soft Tissue,0.0,1.1818181818181819,8.272727272727273,0.09090909090909091,22
Breast,0.047619047619047616,1.0476190476190477,7.619047619047619,0.19047619047619047,21
Skin,0.0,1.0526315789473684,8.052631578947368,0.15789473684210525,19
Liver,0.06666666666666667,1.0666666666666667,7.666666666666667,0.3333333333333333,15
Myeloid,0.06666666666666667,1.0,7.733333333333333,0.06666666666666667,15
Peripheral Nervous System,0.0,1.0833333333333333,8.5,0.4166666666666667,12
Ovary/Fallopian Tube,0.09090909090909091,1.6363636363636365,8.454545454545455,0.18181818181818182,11
Kidney,0.0,1.0,8.272727272727273,0.0,11
Pancreas,0.0,1.1,7.8,0.1,10
Testis,0.0,1.125,9.25,0.0,8
Cervix,0.0,1.0,8.8,0.0,5
Pleura,0.0,1.0,6.666666666666667,1.0,3
