episode_id,cell_line_id,selected_gene,selected_index,selected_dependency,query_cost,n_queries,total_reward,n_query_cna,n_query_damaging_mutation,n_query_expression,n_query_hotspot_mutation,hit_at_k,dependency_regret
0,ACH-000417,DIS3,11,-0.563767111697482,0.16,8,0.4037671116974819,0,1,7,0,1.0,0.4074377075727943
1,ACH-000552,KIF18A,6,-3.3760423938541426,0.21999999999999997,11,3.1560423938541424,0,1,10,0,1.0,0.0
2,ACH-000172,CHD4,9,-1.2336927489255478,0.16,8,1.073692748925548,0,1,7,0,1.0,0.0
3,ACH-000422,MYC,9,-2.084482650782212,0.16,8,1.9244826507822121,1,1,6,0,1.0,0.0
4,ACH-000845,CHD4,12,-0.7769531642632684,0.16,8,0.6169531642632684,0,1,7,0,1.0,0.0
5,ACH-000444,SON,14,-0.9604640655212724,0.16,8,0.8004640655212724,0,1,6,1,1.0,0.3242509279410546
6,ACH-002055,SMARCB1,9,-1.1161455436307226,0.16,8,0.9561455436307226,0,1,7,0,1.0,1.2549113529188296
7,ACH-000302,PCBP1,9,-1.6692705862878394,0.16,8,1.5092705862878395,0,1,7,0,1.0,1.0087457027970756
8,ACH-001205,TRAPPC8,10,-1.3488439380027129,0.16,8,1.188843938002713,0,2,6,0,1.0,0.0
9,ACH-001528,RAC1,9,-0.8978636403728549,0.16,8,0.7378636403728549,0,1,7,0,1.0,0.0
10,ACH-000478,H3-3A,14,-1.796293839012677,0.16,8,1.636293839012677,0,1,4,3,1.0,0.0
11,ACH-001307,H3-3A,13,-1.1690368672527214,0.16,8,1.0090368672527215,0,1,5,2,1.0,0.0
12,ACH-000959,KIF18A,4,-1.699575166073721,0.25999999999999995,13,1.439575166073721,0,1,12,0,1.0,0.0
13,ACH-000390,CCND3,7,-0.9209935913327444,0.23999999999999996,12,0.6809935913327444,0,2,10,0,1.0,1.415409410119425
14,ACH-000915,NCAPD2,11,-0.9890518222404616,0.16,8,0.8290518222404616,0,1,7,0,1.0,0.0
15,ACH-000223,EEF1A1,7,-1.2046582010549098,0.19999999999999998,10,1.0046582010549099,0,1,9,0,1.0,0.039902820131023864
16,ACH-000097,VHL,15,-0.5815710650644348,0.16,8,0.42157106506443476,0,1,7,0,1.0,0.8106829208789208
17,ACH-000323,MAX,13,-0.7701216959641581,0.16,8,0.6101216959641581,0,1,7,0,1.0,1.4438515555323266
18,ACH-000172,CCND1,9,-0.9123303606210482,0.16,8,0.7523303606210482,0,1,7,0,1.0,0.0
19,ACH-001702,MAX,11,-0.8335965869592336,0.16,8,0.6735965869592335,0,1,6,1,1.0,0.0
20,ACH-000627,MAX,13,-0.826131733153858,0.16,8,0.666131733153858,0,1,7,0,1.0,0.0
21,ACH-000272,EIF1AX,8,-1.1390970769714652,0.16,8,0.9790970769714652,0,0,8,0,1.0,0.1002816849125252
22,ACH-000191,PPP2R1A,11,-1.459626209444615,0.16,8,1.2996262094446152,0,2,6,0,1.0,0.0
23,ACH-000552,SETD2,10,-0.6263519370065058,0.32,16,0.3063519370065058,0,1,15,0,1.0,0.6457660415030322
24,ACH-000097,SMC4,10,-1.3437899510301492,0.16,8,1.1837899510301493,0,1,7,0,1.0,0.14504119911724778
25,ACH-000371,ZNHIT6,8,-0.769741138589135,0.18,9,0.5897411385891349,0,1,8,0,1.0,0.4873101857958463
26,ACH-002705,PTPN11,10,-0.0766706571982237,0.16,8,-0.0833293428017763,0,1,7,0,1.0,1.3440904752306873
27,ACH-000030,H3-3A,11,-1.8741200531751503,0.16,8,1.7141200531751504,0,1,5,2,1.0,0.0
28,ACH-000011,VHL,14,-0.5351695368998906,0.16,8,0.3751695368998905,0,1,7,0,1.0,0.18705990128437577
29,ACH-000697,RFC5,4,-1.7025395259713765,0.25999999999999995,13,1.4425395259713765,0,1,12,0,1.0,0.0
30,ACH-001502,TACC3,13,-0.6825399320088865,0.16,8,0.5225399320088865,0,1,7,0,1.0,0.09505675749644715
31,ACH-000978,MED12,11,-0.3796026182914105,0.25999999999999995,13,0.11960261829141056,0,1,12,0,1.0,1.4682239757189115
32,ACH-000959,SMC5,6,-0.9219987242539918,0.23999999999999996,12,0.6819987242539918,0,2,10,0,1.0,0.0
33,ACH-000381,TRAPPC8,8,-0.9244750217013552,0.18,9,0.7444750217013552,0,1,8,0,1.0,0.0
34,ACH-000435,RARS2,7,-0.5213903432397112,0.19999999999999998,10,0.3213903432397113,0,1,9,0,1.0,0.39566079030977874
35,ACH-001054,POLE,1,-1.9576637284618617,0.21999999999999997,11,1.7376637284618617,0,2,9,0,1.0,0.0
36,ACH-000144,MTOR,12,-1.3622163200557744,0.16,8,1.2022163200557745,0,1,6,1,1.0,0.4821253535078043
37,ACH-000422,ERCC3,12,-1.1951280963734892,0.16,8,1.0351280963734892,0,1,7,0,1.0,0.0
38,ACH-001054,CNOT3,4,-1.3129996021506063,0.27999999999999997,14,1.0329996021506063,0,2,12,0,1.0,0.0
39,ACH-000541,DHPS,10,-0.5422572273362405,0.16,8,0.38225722733624046,0,1,7,0,1.0,0.01922201157847514
40,ACH-000381,CTCF,11,-2.018059979473116,0.16,8,1.858059979473116,0,1,6,1,1.0,0.0
41,ACH-001547,CRNKL1,15,-1.7997859604277675,0.16,8,1.6397859604277676,0,1,4,3,1.0,0.0
42,ACH-001791,SMC5,15,-1.1281995911779523,0.16,8,0.9681995911779523,0,1,7,0,1.0,0.0
43,ACH-000390,PTPN11,14,-0.9466507523341494,0.16,8,0.7866507523341494,0,1,7,0,1.0,0.047806158197504
44,ACH-000718,SMC4,6,-1.2303792977193495,0.21999999999999997,11,1.0103792977193495,0,1,10,0,1.0,0.0
45,ACH-001699,PCBP1,4,-1.3098266704457755,0.25999999999999995,13,1.0498266704457755,0,1,12,0,1.0,0.0
46,ACH-001702,KRAS,10,-0.4656444829167922,0.16,8,0.30564448291679225,0,1,7,0,1.0,1.063273276257409
47,ACH-001502,CUL3,15,-0.7775966895053337,0.25999999999999995,13,0.5175966895053337,0,1,12,0,1.0,0.0
48,ACH-000552,XPO1,2,-1.2883116650458817,0.3,15,0.9883116650458816,0,1,14,0,1.0,0.0
49,ACH-000191,SON,0,-0.9204689735687632,0.16,8,0.7604689735687632,0,2,6,0,1.0,0.3588044255176108
50,ACH-001431,PCBP1,0,-0.9929967534320622,0.16,8,0.8329967534320621,0,1,7,0,1.0,0.0
51,ACH-000356,RAC1,15,-0.4376158569240434,0.16,8,0.27761585692404345,0,1,7,0,1.0,0.33863738016573647
52,ACH-001737,NCAPD2,12,-1.2292886273848118,0.16,8,1.069288627384812,0,1,6,1,1.0,0.0
53,ACH-003590,EIF1AX,6,-1.3483742897927675,0.21999999999999997,11,1.1283742897927675,0,1,10,0,1.0,0.8209560971678156
54,ACH-000371,SF3B1,7,-1.3412572803084262,0.19999999999999998,10,1.1412572803084262,0,1,9,0,1.0,0.43517952440890384
55,ACH-000202,STIL,8,-0.2226327660348701,0.23999999999999996,12,-0.017367233965129875,0,2,10,0,1.0,0.31425902084413765
56,ACH-001618,PTPN11,14,-0.5449521205881238,0.16,8,0.3849521205881238,0,1,7,0,1.0,0.10374447463149417
57,ACH-000435,TRRAP,2,-1.8557460968830697,0.32,16,1.5357460968830696,0,2,14,0,1.0,0.0
58,ACH-000391,TRRAP,6,-1.796031458592827,0.21999999999999997,11,1.576031458592827,0,1,10,0,1.0,0.7020624883953408
59,ACH-000637,XRCC5,12,-0.7996193882507213,0.16,8,0.6396193882507213,1,1,6,0,1.0,0.0
60,ACH-000915,ZNHIT6,12,-0.5661112348979077,0.16,8,0.4061112348979077,0,1,7,0,1.0,0.12468412316956423
61,ACH-000541,PPP2R1A,15,-0.7806288599017575,0.16,8,0.6206288599017574,0,1,6,1,1.0,0.0
62,ACH-000541,KIF18A,1,-0.9781356037448176,0.18,9,0.7981356037448175,0,2,7,0,1.0,0.0
63,ACH-000030,EIF1AX,4,-2.1443092456875847,0.3,15,1.8443092456875847,0,3,12,0,1.0,0.0
64,ACH-002142,SRSF2,5,-2.319153720515064,0.23999999999999996,12,2.0791537205150643,0,1,11,0,1.0,0.0
65,ACH-000581,SMARCB1,0,-0.9351523836577412,0.18,9,0.7551523836577412,0,1,8,0,1.0,0.5719078674560522
66,ACH-000664,UPF2,5,-1.0212694086180862,0.23999999999999996,12,0.7812694086180862,0,1,11,0,1.0,0.10113480003466435
67,ACH-000630,SF3B1,9,-1.653505515814791,0.16,8,1.4935055158147912,0,1,7,0,1.0,0.13983169438371346
68,ACH-000290,PPP2R1A,7,-1.0567223580533167,0.19999999999999998,10,0.8567223580533168,0,1,9,0,1.0,0.0
69,ACH-000244,EIF2B3,4,-1.0826187556965463,0.25999999999999995,13,0.8226187556965463,0,1,12,0,1.0,0.4170667619776194
70,ACH-002705,ERCC3,10,-0.9941247453811306,0.16,8,0.8341247453811306,0,1,7,0,1.0,0.1104130921818145
71,ACH-000627,ERCC2,10,-1.1064423954366658,0.16,8,0.9464423954366658,0,1,7,0,1.0,0.7806115192089431
72,ACH-001699,DIS3,0,-0.8484696759358984,0.21999999999999997,11,0.6284696759358984,0,2,9,0,1.0,0.14136471974103437
73,ACH-000018,PCBP1,7,-1.1128961804699882,0.19999999999999998,10,0.9128961804699882,0,1,9,0,1.0,0.4316275645976104
74,ACH-000128,RARS2,13,-0.8480263757760557,0.19999999999999998,10,0.6480263757760557,0,1,9,0,1.0,0.0
