episode_id,cell_line_id,step,action_type,gene,modality,observed_value,gene_true_rank,n_queries_so_far,cumulative_query_cost,cumulative_reward
0,ACH-000417,0,query,ABCC10,expression,0.13650671980264864,5,1,0.02,-0.02
0,ACH-000417,1,query,CPQ,expression,0.06967490750109956,7,2,0.04,-0.04
0,ACH-000417,2,query,TGOLN2,expression,0.13248358633791152,10,3,0.06,-0.06
0,ACH-000417,3,query,FAT1,expression,-0.0682684784236836,11,4,0.08,-0.08
0,ACH-000417,4,query,DIS3,expression,0.7349512098587564,2,5,0.1,-0.1
0,ACH-000417,5,query,DXO,expression,0.07698720096895115,6,6,0.12000000000000001,-0.12000000000000001
0,ACH-000417,6,query,VWA5A,damaging_mutation,-0.17894285295436982,14,7,0.14,-0.14
0,ACH-000417,7,query,PRL,expression,-0.021218597070165324,12,8,0.16,-0.16
0,ACH-000417,8,select,DIS3,,,2,8,0.16,0.4037671116974819
1,ACH-000552,0,query,IDH2,expression,0.019752424891062118,12,1,0.02,-0.02
1,ACH-000552,1,query,AGAP1,expression,0.028249042166424702,5,2,0.04,-0.04
1,ACH-000552,2,query,TERT,expression,0.059890423405699535,9,3,0.06,-0.06
1,ACH-000552,3,query,TOP2B,expression,-0.011413940568366948,8,4,0.08,-0.08
1,ACH-000552,4,query,COL21A1,expression,-0.01906715122486347,7,5,0.1,-0.1
1,ACH-000552,5,query,SLC25A32,expression,0.01542768893071389,16,6,0.12000000000000001,-0.12000000000000001
1,ACH-000552,6,query,ZNF680,expression,0.05678394494451964,15,7,0.14,-0.14
1,ACH-000552,7,query,FLT3,expression,0.13563758656725916,6,8,0.16,-0.16
1,ACH-000552,8,query,PARD6A,damaging_mutation,,11,9,0.18,-0.18
1,ACH-000552,9,query,ARID2,expression,0.3859228877231934,3,10,0.19999999999999998,-0.19999999999999998
1,ACH-000552,10,query,KIF18A,expression,1.373070628744392,1,11,0.21999999999999997,-0.21999999999999997
1,ACH-000552,11,select,KIF18A,,,1,11,0.21999999999999997,3.1560423938541424
2,ACH-000172,0,query,ZNF823,expression,-0.055442721878548075,13,1,0.02,-0.02
2,ACH-000172,1,query,ZC3H4,expression,0.18709188965300175,3,2,0.04,-0.04
2,ACH-000172,2,query,AKT1,expression,0.11561850130903562,9,3,0.06,-0.06
2,ACH-000172,3,query,VWA5A,expression,-0.17374617148371982,16,4,0.08,-0.08
2,ACH-000172,4,query,TRIML2,expression,-0.09723442685414943,11,5,0.1,-0.1
2,ACH-000172,5,query,ZNF570,expression,-0.13445879262327878,6,6,0.12000000000000001,-0.12000000000000001
2,ACH-000172,6,query,CHD4,expression,1.1281913692360472,1,7,0.14,-0.14
2,ACH-000172,7,query,CHD4,damaging_mutation,1.124712076785208,1,8,0.16,-0.16
2,ACH-000172,8,select,CHD4,,,1,8,0.16,1.073692748925548
3,ACH-000422,0,query,PON1,expression,0.12328869964517153,9,1,0.02,-0.02
3,ACH-000422,1,query,POT1,expression,0.4455332379940521,4,2,0.04,-0.04
3,ACH-000422,2,query,SAMD9L,expression,0.08604806774684176,15,3,0.06,-0.06
3,ACH-000422,3,query,VHL,expression,0.8085629715316279,2,4,0.08,-0.08
3,ACH-000422,4,query,KCNT2,cna,-0.024142647969735552,11,5,0.1,-0.1
3,ACH-000422,5,query,MYBPC3,expression,0.09948739384895804,5,6,0.12000000000000001,-0.12000000000000001
3,ACH-000422,6,query,IRX2,damaging_mutation,-0.03425207572919527,14,7,0.14,-0.14
3,ACH-000422,7,query,MYC,expression,1.460968761590273,1,8,0.16,-0.16
3,ACH-000422,8,select,MYC,,,1,8,0.16,1.9244826507822121
4,ACH-000845,0,query,H3C2,expression,0.15642476619196155,16,1,0.02,-0.02
