gene_true_rank,n_queries,query_fraction,mean_step,mean_observed_value
1,908,0.12824858757062146,9.495594713656388,1.1498088587714401
2,631,0.08912429378531074,10.080824088748018,0.7424531435499485
3,439,0.06200564971751413,9.753986332574032,0.30648771449229023
4,418,0.05903954802259887,8.41866028708134,0.19804346807823422
5,437,0.06172316384180791,8.281464530892448,0.15103550690337628
6,398,0.05621468926553672,7.369346733668341,0.11340796455525361
7,399,0.05635593220338983,8.348370927318296,0.09646693091636206
8,398,0.05621468926553672,8.381909547738694,0.04618094145522377
9,384,0.05423728813559322,8.005208333333334,0.05162375132202022
10,385,0.054378531073446326,7.4935064935064934,0.04443923400754707
11,396,0.05593220338983051,8.058080808080808,0.0155680040133955
12,368,0.0519774011299435,7.144021739130435,0.004103066584117006
13,378,0.053389830508474574,7.148148148148148,-0.0026115534035197276
14,372,0.05254237288135593,6.830645161290323,-0.03691230268099208
15,390,0.05508474576271186,7.166666666666667,-0.04057010691908935
16,379,0.05353107344632768,6.614775725593668,-0.05539824181342364
