episode_id,cell_line_id,selected_gene,selected_dependency,dependency_regret,hit_at_k,n_queries,query_cost,total_reward,n_query_cna,n_query_damaging_mutation,n_query_expression,n_query_hotspot_mutation,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype
0,ACH-000417,ERCC3,-0.9712048192702762,0.0,1.0,8,0.16,0.8112048192702762,0,0,8,0,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma
1,ACH-000552,KIF18A,-3.3760423938541426,0.0,1.0,8,0.16,3.2160423938541425,1,0,7,0,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma
6,ACH-002055,XPO1,-2.371056896549552,0.0,1.0,8,0.16,2.211056896549552,1,2,5,0,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma
12,ACH-000959,KIF18A,-1.699575166073721,0.0,1.0,8,0.16,1.5395751660737211,0,0,8,0,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma
21,ACH-000272,MYC,-1.2393787618839904,0.0,1.0,8,0.16,1.0793787618839903,1,2,5,0,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma
24,ACH-000097,POLE,-1.488831150147397,0.0,1.0,8,0.16,1.328831150147397,1,1,6,0,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma
25,ACH-000371,SON,-1.2570513243849812,0.0,1.0,8,0.16,1.097051324384981,0,0,8,0,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS"
26,ACH-002705,RFC5,-1.4207611324289109,0.0,1.0,8,0.16,1.260761132428911,1,1,6,0,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Esophageal Adenocarcinoma
29,ACH-000697,RFC5,-1.7025395259713765,0.0,1.0,8,0.16,1.5425395259713766,0,0,8,0,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS"
31,ACH-000978,TRRAP,-1.847826594010322,0.0,1.0,8,0.16,1.687826594010322,1,1,6,0,Uterus,Endometrial Carcinoma,Endometrial Carcinoma
35,ACH-001054,POLE,-1.9576637284618617,0.0,1.0,8,0.16,1.7976637284618615,1,1,3,3,CNS/Brain,Embryonal Tumor,"Medulloblastoma, Group 3"
43,ACH-000390,RFC5,-0.9944569105316534,0.0,1.0,8,0.16,0.8344569105316534,1,1,6,0,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma
44,ACH-000718,SMC4,-1.2303792977193495,0.0,1.0,8,0.16,1.0703792977193496,1,0,7,0,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma
48,ACH-000552,XPO1,-1.2883116650458817,0.0,1.0,8,0.16,1.1283116650458818,1,3,4,0,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma
50,ACH-001431,PCBP1,-0.9929967534320622,0.0,1.0,8,0.16,0.8329967534320621,1,1,3,3,Bone,Ewing Sarcoma,Ewing Sarcoma
57,ACH-000435,TRRAP,-1.8557460968830697,0.0,1.0,8,0.16,1.6957460968830698,1,1,4,2,Uterus,Endometrial Carcinoma,Endometrial Carcinoma
58,ACH-000391,MYC,-2.498093946988168,0.0,1.0,8,0.16,2.338093946988168,1,1,6,0,Bone,Ewing Sarcoma,Ewing Sarcoma
62,ACH-000541,KIF18A,-0.9781356037448176,0.0,1.0,8,0.16,0.8181356037448175,1,1,4,2,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma
64,ACH-002142,SRSF2,-2.319153720515064,0.0,1.0,8,0.16,2.159153720515064,1,1,6,0,Bone,Osteosarcoma,Osteosarcoma
67,ACH-000630,MTOR,-1.7933372101985046,0.0,1.0,8,0.16,1.6333372101985046,1,1,6,0,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma
