OncotreeLineage,n_query_cna,n_query_damaging_mutation,n_query_expression,n_query_hotspot_mutation,n_episodes
Lung,0.7454545454545455,4.290909090909091,7.0181818181818185,0.0,55
Lymphoid,9.777777777777779,0.6296296296296297,4.296296296296297,0.018518518518518517,54
Bowel,10.225,0.0,1.675,0.0,40
CNS/Brain,1.2105263157894737,0.0,10.368421052631579,0.0,38
Bone,0.7272727272727273,4.909090909090909,7.818181818181818,0.06060606060606061,33
Esophagus/Stomach,0.0,0.3,10.5,0.1,30
Uterus,0.034482758620689655,3.9655172413793105,7.758620689655173,0.0,29
Thyroid,0.391304347826087,0.4782608695652174,10.652173913043478,0.30434782608695654,23
Bladder/Urinary Tract,0.5652173913043478,1.7826086956521738,8.869565217391305,0.34782608695652173,23
Head and Neck,0.6086956521739131,0.13043478260869565,10.26086956521739,0.0,23
Soft Tissue,11.409090909090908,0.18181818181818182,1.8636363636363635,0.36363636363636365,22
Breast,0.23809523809523808,0.09523809523809523,10.904761904761905,0.09523809523809523,21
Skin,0.9473684210526315,0.15789473684210525,12.052631578947368,0.05263157894736842,19
Liver,0.8,0.06666666666666667,9.4,0.0,15
Myeloid,0.7333333333333333,0.06666666666666667,11.066666666666666,0.0,15
Peripheral Nervous System,0.5833333333333334,0.08333333333333333,9.75,0.08333333333333333,12
Ovary/Fallopian Tube,9.363636363636363,0.18181818181818182,7.545454545454546,0.0,11
Kidney,0.6363636363636364,1.1818181818181819,9.909090909090908,0.2727272727272727,11
Pancreas,8.7,0.0,3.6,0.0,10
Testis,3.125,0.25,9.875,0.0,8
Cervix,0.2,0.2,9.8,0.0,5
Pleura,0.3333333333333333,0.0,10.666666666666666,0.0,3
