gene_true_rank,n_queries,query_fraction,mean_step,mean_observed_value
1,644,0.10449456433555086,7.462732919254658,1.2236473915924386
2,449,0.07285412948239493,7.20935412026726,0.768309388496605
3,361,0.05857536913840662,6.833795013850415,0.2654853307820993
4,370,0.06003569690085997,7.162162162162162,0.17959579326598776
5,360,0.058413110498134024,6.897222222222222,0.13831359814154007
6,382,0.0619828005841311,6.9267015706806285,0.1060165977567653
7,352,0.05711504137595327,7.224431818181818,0.0748228499616451
8,362,0.05873762777867921,7.196132596685083,0.04083947055825964
9,347,0.056303748174590294,7.034582132564841,0.04037470985814102
10,369,0.05987343826058738,6.97289972899729,0.04029852796415305
11,362,0.05873762777867921,7.30939226519337,0.015353258114067094
12,365,0.059224403699497,6.589041095890411,-0.0012894319407440083
13,369,0.05987343826058738,6.53929539295393,-0.016130505167974707
14,356,0.05776407593704365,6.696629213483146,-0.03011245197706482
15,361,0.05857536913840662,6.975069252077562,-0.03863455836052217
16,354,0.05743955865649846,6.573446327683616,-0.06998353278307119
