episode_id,cell_line_id,selected_gene,selected_dependency,dependency_regret,hit_at_k,n_queries,query_cost,total_reward,n_query_cna,n_query_damaging_mutation,n_query_expression,n_query_hotspot_mutation,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype
1,ACH-000552,KIF18A,-3.3760423938541426,0.0,1.0,8,0.16,3.2160423938541425,7,0,1,0,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma
2,ACH-000172,CHD4,-1.2336927489255478,0.0,1.0,8,0.16,1.073692748925548,7,0,0,1,Soft Tissue,Rhabdoid Cancer,Extrarenal Rhabdoid Cancer
3,ACH-000422,MYC,-2.084482650782212,0.0,1.0,8,0.16,1.924482650782212,1,0,7,0,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma
4,ACH-000845,CHD4,-0.7769531642632684,0.0,1.0,8,0.16,0.6169531642632684,1,6,1,0,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma
5,ACH-000444,DHPS,-1.284714993462327,0.0,1.0,8,0.16,1.124714993462327,0,3,5,0,Lung,Non-Small Cell Lung Cancer,Giant Cell Carcinoma of the Lung
6,ACH-002055,XPO1,-2.371056896549552,0.0,1.0,8,0.16,2.211056896549552,2,1,5,0,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma
16,ACH-000097,ICE1,-1.3922539859433556,0.0,1.0,8,0.16,1.2322539859433557,0,0,8,0,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma
18,ACH-000172,CCND1,-0.9123303606210482,0.0,1.0,8,0.16,0.7523303606210482,6,0,1,1,Soft Tissue,Rhabdoid Cancer,Extrarenal Rhabdoid Cancer
20,ACH-000627,MAX,-0.826131733153858,0.0,1.0,8,0.16,0.666131733153858,2,6,0,0,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma
24,ACH-000097,POLE,-1.488831150147397,0.0,1.0,8,0.16,1.328831150147397,0,1,7,0,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma
25,ACH-000371,SON,-1.2570513243849812,0.0,1.0,8,0.16,1.097051324384981,8,0,0,0,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS"
26,ACH-002705,RFC5,-1.4207611324289109,0.0,1.0,8,0.16,1.260761132428911,0,0,8,0,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Esophageal Adenocarcinoma
29,ACH-000697,RFC5,-1.7025395259713765,0.0,1.0,8,0.16,1.5425395259713766,7,0,1,0,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS"
33,ACH-000381,TRAPPC8,-0.9244750217013552,0.0,1.0,8,0.16,0.7644750217013552,7,0,1,0,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma
35,ACH-001054,POLE,-1.9576637284618617,0.0,1.0,8,0.16,1.7976637284618615,1,0,7,0,CNS/Brain,Embryonal Tumor,"Medulloblastoma, Group 3"
36,ACH-000144,PCBP1,-1.8443416735635787,0.0,1.0,8,0.16,1.6843416735635788,0,1,6,1,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma
38,ACH-001054,CNOT3,-1.3129996021506063,0.0,1.0,8,0.16,1.1529996021506064,1,0,7,0,CNS/Brain,Embryonal Tumor,"Medulloblastoma, Group 3"
40,ACH-000381,CTCF,-2.018059979473116,0.0,1.0,8,0.16,1.858059979473116,4,0,4,0,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma
41,ACH-001547,CRNKL1,-1.7997859604277675,0.0,1.0,8,0.16,1.6397859604277676,1,0,7,0,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type"
44,ACH-000718,SMC4,-1.2303792977193495,0.0,1.0,8,0.16,1.0703792977193496,1,3,4,0,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma
