episode_id,cell_line_id,step,action_type,gene,modality,observed_value,gene_true_rank,n_queries_so_far,cumulative_query_cost,cumulative_reward
0,ACH-000417,0,query,ABCC10,cna,0.13486918672485862,5,1,0.02,-0.02
0,ACH-000417,1,query,CPQ,cna,0.07282882951786776,7,2,0.04,-0.04
0,ACH-000417,2,query,TGOLN2,cna,0.12896642175106487,10,3,0.06,-0.06
0,ACH-000417,3,query,FAT1,cna,-0.09982020577687903,11,4,0.08,-0.08
0,ACH-000417,4,query,DXO,cna,0.08107685456433394,6,5,0.1,-0.1
0,ACH-000417,5,query,DIS3,cna,0.7254793775111372,2,6,0.12000000000000001,-0.12000000000000001
0,ACH-000417,6,query,PRL,cna,-0.04342430467626224,12,7,0.14,-0.14
0,ACH-000417,7,query,CTNNB1,cna,0.2887511692632837,3,8,0.16,-0.16
0,ACH-000417,8,query,ERCC3,cna,1.0020836076454354,1,9,0.18,-0.18
0,ACH-000417,9,query,MYT1,cna,0.060901084832552146,9,10,0.19999999999999998,-0.19999999999999998
0,ACH-000417,10,query,HYDIN,cna,0.24923296371253484,4,11,0.21999999999999997,-0.21999999999999997
0,ACH-000417,11,query,AGXT2,cna,-0.0996560113592627,13,12,0.23999999999999996,-0.23999999999999996
0,ACH-000417,12,query,NRCAM,cna,-0.003344797213043982,8,13,0.25999999999999995,-0.25999999999999995
0,ACH-000417,13,query,CDKN2A,cna,-0.21752158984801828,16,14,0.27999999999999997,-0.27999999999999997
0,ACH-000417,14,query,SIAE,cna,-0.19317799717469686,15,15,0.3,-0.3
0,ACH-000417,15,query,VWA5A,cna,-0.14994483638859363,14,16,0.32,-0.32
0,ACH-000417,16,query,ERCC3,expression,0.9990615692537035,1,17,0.34,-0.34
0,ACH-000417,17,select,ERCC3,,,1,17,0.34,0.6312048192702762
1,ACH-000552,0,query,ZNF680,cna,0.0532421425029511,15,1,0.02,-0.02
1,ACH-000552,1,query,SLC25A32,cna,0.008243546105368482,16,2,0.04,-0.04
1,ACH-000552,2,query,FLT3,cna,0.2944080934354802,6,3,0.06,-0.06
1,ACH-000552,3,query,COL21A1,cna,-0.01966504328580763,7,4,0.08,-0.08
1,ACH-000552,4,query,ARID2,cna,0.38044908037811864,3,5,0.1,-0.1
1,ACH-000552,5,query,TOP2B,cna,-0.00707424575510477,8,6,0.12000000000000001,-0.12000000000000001
1,ACH-000552,6,query,KIF18A,cna,1.5207011005346889,1,7,0.14,-0.14
1,ACH-000552,7,query,KIF18A,expression,1.373070628744392,1,8,0.16,-0.16
1,ACH-000552,8,select,KIF18A,,,1,8,0.16,3.2160423938541425
2,ACH-000172,0,query,MYD88,cna,-0.019733764786383598,4,1,0.02,-0.02
2,ACH-000172,1,query,SDHA,cna,0.32002580101216455,5,2,0.04,-0.04
2,ACH-000172,2,query,CHD4,cna,1.127694229437706,1,3,0.06,-0.06
2,ACH-000172,3,query,CHD4,hotspot_mutation,,1,4,0.08,-0.08
2,ACH-000172,4,query,SIAE,cna,-0.20489194190523274,15,5,0.1,-0.1
2,ACH-000172,5,query,ZNF570,cna,-0.1353728826094942,6,6,0.12000000000000001,-0.12000000000000001
2,ACH-000172,6,query,CD55,cna,0.022356545483846163,7,7,0.14,-0.14
2,ACH-000172,7,query,TRIML2,cna,-0.07610916942742074,11,8,0.16,-0.16
2,ACH-000172,8,select,CHD4,,,1,8,0.16,1.073692748925548
3,ACH-000422,0,query,DNAJA4,expression,-0.02376838234641863,12,1,0.02,-0.02
3,ACH-000422,1,query,PATL1,expression,0.04425438037740789,13,2,0.04,-0.04
3,ACH-000422,2,query,BMPR1A,expression,0.28011622627841776,8,3,0.06,-0.06
3,ACH-000422,3,query,VWA5A,expression,-0.18185579043850572,16,4,0.08,-0.08
3,ACH-000422,4,query,MYC,expression,1.460968761590273,1,5,0.1,-0.1
3,ACH-000422,5,query,MYC,cna,1.9440744218759132,1,6,0.12000000000000001,-0.12000000000000001
3,ACH-000422,6,query,KCNT2,expression,-0.019888290311009332,11,7,0.14,-0.14
3,ACH-000422,7,query,PIK3CB,expression,0.09774709880130444,3,8,0.16,-0.16
3,ACH-000422,8,select,MYC,,,1,8,0.16,1.9244826507822121
4,ACH-000845,0,query,LEPR,damaging_mutation,0.07798721131126886,13,1,0.02,-0.02
4,ACH-000845,1,query,CHD4,damaging_mutation,1.124712076785208,1,2,0.04,-0.04
4,ACH-000845,2,query,CHD4,cna,1.1318217830474806,1,3,0.06,-0.06
4,ACH-000845,3,query,CHD4,expression,1.1218569985867615,1,4,0.08,-0.08
4,ACH-000845,4,query,SMAD4,damaging_mutation,0.06021541244497883,9,5,0.1,-0.1
4,ACH-000845,5,query,KNSTRN,damaging_mutation,,15,6,0.12000000000000001,-0.12000000000000001
4,ACH-000845,6,query,MORC2,damaging_mutation,0.13168601665680388,10,7,0.14,-0.14
4,ACH-000845,7,query,ILDR1,damaging_mutation,0.001152908123520122,8,8,0.16,-0.16
