episode_id,cell_line_id,selected_gene,selected_index,selected_dependency,query_cost,n_queries,total_reward,n_query_cna,n_query_damaging_mutation,n_query_expression,n_query_hotspot_mutation
0,ACH-000417,ERCC3,7,-0.9712048192702762,0.34,17,0.6312048192702762,16,0,1,0
1,ACH-000552,KIF18A,6,-3.3760423938541426,0.16,8,3.2160423938541425,7,0,1,0
2,ACH-000172,CHD4,9,-1.2336927489255478,0.16,8,1.073692748925548,7,0,0,1
3,ACH-000422,MYC,9,-2.084482650782212,0.16,8,1.9244826507822121,1,0,7,0
4,ACH-000845,CHD4,12,-0.7769531642632684,0.16,8,0.6169531642632684,1,6,1,0
5,ACH-000444,DHPS,8,-1.284714993462327,0.16,8,1.124714993462327,0,3,5,0
6,ACH-002055,XPO1,3,-2.371056896549552,0.16,8,2.211056896549552,2,1,5,0
7,ACH-000302,PCBP1,9,-1.6692705862878394,0.16,8,1.5092705862878395,0,3,5,0
8,ACH-001205,BRD4,13,-0.9414883554605996,0.16,8,0.7814883554605996,1,7,0,0
9,ACH-001528,RAC1,9,-0.8978636403728549,0.32,16,0.577863640372855,0,0,16,0
10,ACH-000478,H3-3A,14,-1.796293839012677,0.23999999999999996,12,1.556293839012677,0,0,12,0
11,ACH-001307,CDK4,0,-0.9007124099543106,0.16,8,0.7407124099543105,0,0,8,0
12,ACH-000959,KIF18A,4,-1.699575166073721,0.23999999999999996,12,1.459575166073721,12,0,0,0
13,ACH-000390,EIF1AX,4,-2.3364030014521693,0.19999999999999998,10,2.136403001452169,0,5,5,0
14,ACH-000915,NCAPD2,11,-0.9890518222404616,0.23999999999999996,12,0.7490518222404616,0,0,12,0
15,ACH-000223,EEF1A1,7,-1.2046582010549098,0.16,8,1.04465820105491,0,0,8,0
16,ACH-000097,ICE1,3,-1.3922539859433556,0.16,8,1.2322539859433557,0,0,8,0
17,ACH-000323,EIF1AX,8,-2.2139732514964847,0.18,9,2.0339732514964846,0,0,9,0
18,ACH-000172,CCND1,9,-0.9123303606210482,0.16,8,0.7523303606210482,6,0,1,1
19,ACH-001702,MAX,11,-0.8335965869592336,0.34,17,0.49359658695923353,16,1,0,0
20,ACH-000627,MAX,13,-0.826131733153858,0.16,8,0.666131733153858,2,6,0,0
21,ACH-000272,EIF1AX,8,-1.1390970769714652,0.16,8,0.9790970769714652,0,1,6,1
22,ACH-000191,PPP2R1A,11,-1.459626209444615,0.23999999999999996,12,1.219626209444615,0,0,12,0
23,ACH-000552,SETD2,10,-0.6263519370065058,0.4000000000000001,20,0.22635193700650574,13,0,7,0
24,ACH-000097,POLE,5,-1.488831150147397,0.16,8,1.328831150147397,0,1,7,0
25,ACH-000371,SON,4,-1.2570513243849812,0.16,8,1.0970513243849813,8,0,0,0
26,ACH-002705,RFC5,5,-1.4207611324289109,0.16,8,1.260761132428911,0,0,8,0
27,ACH-000030,H3-3A,11,-1.8741200531751503,0.4000000000000001,20,1.4741200531751502,0,4,16,0
28,ACH-000011,VHL,14,-0.5351695368998906,0.34,17,0.19516953689989053,0,2,15,0
29,ACH-000697,RFC5,4,-1.7025395259713765,0.16,8,1.5425395259713766,7,0,1,0
30,ACH-001502,TACC3,13,-0.6825399320088865,0.32,16,0.3625399320088865,3,0,13,0
31,ACH-000978,TRRAP,3,-1.847826594010322,0.25999999999999995,13,1.587826594010322,0,3,10,0
32,ACH-000959,SMC5,6,-0.9219987242539918,0.34,17,0.5819987242539917,16,0,1,0
33,ACH-000381,TRAPPC8,8,-0.9244750217013552,0.16,8,0.7644750217013552,7,0,1,0
34,ACH-000435,RARS2,7,-0.5213903432397112,0.32,16,0.20139034323971122,0,3,13,0
35,ACH-001054,POLE,1,-1.9576637284618617,0.16,8,1.7976637284618617,1,0,7,0
36,ACH-000144,PCBP1,9,-1.8443416735635787,0.16,8,1.6843416735635788,0,1,6,1
37,ACH-000422,ERCC3,12,-1.1951280963734892,0.18,9,1.0151280963734892,0,0,9,0
38,ACH-001054,CNOT3,4,-1.3129996021506063,0.16,8,1.1529996021506064,1,0,7,0
39,ACH-000541,DHPS,10,-0.5422572273362405,0.32,16,0.22225722733624048,12,0,4,0
40,ACH-000381,CTCF,11,-2.018059979473116,0.16,8,1.858059979473116,4,0,4,0
41,ACH-001547,CRNKL1,15,-1.7997859604277675,0.16,8,1.6397859604277676,1,0,7,0
42,ACH-001791,SMC5,15,-1.1281995911779523,0.36000000000000004,18,0.7681995911779522,16,0,1,1
43,ACH-000390,RFC5,5,-0.9944569105316534,0.18,9,0.8144569105316535,0,4,5,0
44,ACH-000718,SMC4,6,-1.2303792977193495,0.16,8,1.0703792977193496,1,3,4,0
45,ACH-001699,PCBP1,4,-1.3098266704457755,0.19999999999999998,10,1.1098266704457755,0,0,10,0
