OncotreeLineage,n_query_cna,n_query_damaging_mutation,n_query_expression,n_query_hotspot_mutation,n_episodes
Lung,10.945454545454545,0.5818181818181818,0.4,0.0,55
Lymphoid,10.981481481481481,0.9074074074074074,0.5185185185185185,0.0,54
Bowel,11.375,0.35,0.55,0.0,40
CNS/Brain,11.868421052631579,0.5526315789473685,0.0,0.02631578947368421,38
Bone,11.969696969696969,1.4242424242424243,0.09090909090909091,0.0,33
Esophagus/Stomach,11.233333333333333,0.0,0.0,0.0,30
Uterus,9.379310344827585,0.034482758620689655,1.0,0.0,29
Thyroid,1.8695652173913044,0.2608695652173913,7.782608695652174,0.391304347826087,23
Bladder/Urinary Tract,3.1739130434782608,0.0,7.826086956521739,0.043478260869565216,23
Head and Neck,10.304347826086957,2.0434782608695654,0.0,0.0,23
Soft Tissue,7.5,0.0,4.7272727272727275,0.045454545454545456,22
Breast,9.19047619047619,0.047619047619047616,0.9047619047619048,0.0,21
Skin,8.631578947368421,3.9473684210526314,1.736842105263158,0.2631578947368421,19
Liver,10.2,1.2666666666666666,1.0,0.13333333333333333,15
Myeloid,14.133333333333333,0.13333333333333333,0.5333333333333333,0.0,15
Peripheral Nervous System,10.166666666666666,0.5,0.0,0.0,12
Ovary/Fallopian Tube,10.909090909090908,0.2727272727272727,3.5454545454545454,0.18181818181818182,11
Kidney,5.636363636363637,7.636363636363637,0.36363636363636365,0.09090909090909091,11
Pancreas,9.4,0.0,0.1,0.2,10
Testis,9.75,0.0,10.125,0.25,8
Cervix,9.8,0.0,1.4,0.0,5
Pleura,0.0,10.666666666666666,0.3333333333333333,3.6666666666666665,3
