episode_id,cell_line_id,step,action_type,gene,modality,observed_value,gene_true_rank,n_queries_so_far,cumulative_query_cost,cumulative_reward
0,ACH-000417,0,query,ERCC3,cna,1.0020836076454354,1,1,0.02,-0.02
0,ACH-000417,1,query,MYT1,cna,0.060901084832552146,9,2,0.04,-0.04
0,ACH-000417,2,query,CTNNB1,cna,0.2887511692632837,3,3,0.06,-0.06
0,ACH-000417,3,query,HYDIN,cna,0.24923296371253484,4,4,0.08,-0.08
0,ACH-000417,4,query,PRL,cna,-0.04342430467626224,12,5,0.1,-0.1
0,ACH-000417,5,query,AGXT2,cna,-0.0996560113592627,13,6,0.12000000000000001,-0.12000000000000001
0,ACH-000417,6,query,DXO,cna,0.08107685456433394,6,7,0.14,-0.14
0,ACH-000417,7,query,NRCAM,cna,-0.003344797213043982,8,8,0.16,-0.16
0,ACH-000417,8,select,ERCC3,,,1,8,0.16,0.8112048192702762
1,ACH-000552,0,query,FLT3,cna,0.2944080934354802,6,1,0.02,-0.02
1,ACH-000552,1,query,ARID2,cna,0.38044908037811864,3,2,0.04,-0.04
1,ACH-000552,2,query,ZNF680,cna,0.0532421425029511,15,3,0.06,-0.06
1,ACH-000552,3,query,SLC25A32,cna,0.008243546105368482,16,4,0.08,-0.08
1,ACH-000552,4,query,KIF18A,cna,1.5207011005346889,1,5,0.1,-0.1
1,ACH-000552,5,query,COL21A1,cna,-0.01966504328580763,7,6,0.12000000000000001,-0.12000000000000001
1,ACH-000552,6,query,SCG2,cna,0.026747520326199016,14,7,0.14,-0.14
1,ACH-000552,7,query,TOP2B,cna,-0.00707424575510477,8,8,0.16,-0.16
1,ACH-000552,8,select,KIF18A,,,1,8,0.16,3.2160423938541425
2,ACH-000172,0,query,ZC3H4,cna,0.18390811532778983,3,1,0.02,-0.02
2,ACH-000172,1,query,AKT1,cna,0.08813506303898286,9,2,0.04,-0.04
2,ACH-000172,2,query,ZNF823,cna,-0.052334654827349565,13,3,0.06,-0.06
2,ACH-000172,3,query,VWA5A,cna,-0.1770427579874279,16,4,0.08,-0.08
2,ACH-000172,4,query,TRIML2,cna,-0.07610916942742074,11,5,0.1,-0.1
2,ACH-000172,5,query,ZNF570,cna,-0.1353728826094942,6,6,0.12000000000000001,-0.12000000000000001
2,ACH-000172,6,query,CHD4,cna,1.127694229437706,1,7,0.14,-0.14
2,ACH-000172,7,query,MYD88,expression,-0.02613530896599716,4,8,0.16,-0.16
2,ACH-000172,8,select,CHD4,,,1,8,0.16,1.073692748925548
3,ACH-000422,0,query,PATL1,cna,0.04761809934843371,13,1,0.02,-0.02
3,ACH-000422,1,query,BMPR1A,cna,0.25945865474348145,8,2,0.04,-0.04
3,ACH-000422,2,query,DNAJA4,cna,-0.02354611960957982,12,3,0.06,-0.06
3,ACH-000422,3,query,VWA5A,cna,-0.16102701716543286,16,4,0.08,-0.08
3,ACH-000422,4,query,MYC,cna,1.9440744218759132,1,5,0.1,-0.1
3,ACH-000422,5,query,MYC,expression,1.460968761590273,1,6,0.12000000000000001,-0.12000000000000001
3,ACH-000422,6,query,KCNT2,cna,-0.024142647969735552,11,7,0.14,-0.14
3,ACH-000422,7,query,MYBPC3,cna,0.08389071295215281,5,8,0.16,-0.16
3,ACH-000422,8,select,MYC,,,1,8,0.16,1.9244826507822121
4,ACH-000845,0,query,H3C2,cna,0.13920604857469449,16,1,0.02,-0.02
4,ACH-000845,1,query,NEFM,cna,-0.08279285580345126,11,2,0.04,-0.04
4,ACH-000845,2,query,MORC2,cna,0.11450549342496023,10,3,0.06,-0.06
4,ACH-000845,3,query,CHD4,cna,1.1318217830474806,1,4,0.08,-0.08
4,ACH-000845,4,query,LEPR,cna,0.08259220382991148,13,5,0.1,-0.1
4,ACH-000845,5,query,SMAD4,cna,0.050863460077091825,9,6,0.12000000000000001,-0.12000000000000001
4,ACH-000845,6,query,KNSTRN,cna,0.004354742921629591,15,7,0.14,-0.14
4,ACH-000845,7,query,ILDR1,cna,-0.007737543749003484,8,8,0.16,-0.16
4,ACH-000845,8,select,CHD4,,,1,8,0.16,0.6169531642632684
5,ACH-000444,0,query,KMT2D,cna,0.44505338795352134,4,1,0.02,-0.02
