episode,total_reward,n_queries,epsilon,loss,validation_total_reward,validation_n_queries,validation_selected_dependency,validation_hit_at_k
0,0.2540557193154435,10,0.999791,0.0,,,,
1,-0.13618942754234115,8,0.99962,0.0,,,,
2,1.258693157249565,8,0.999449,0.0,,,,
3,0.11140105826583592,11,0.999221,0.0,,,,
4,-0.021918317367244727,8,0.99905,0.0,,,,
5,0.08585491106712576,11,0.998822,0.0,,,,
6,-0.1737740058507139,9,0.998632,0.0,,,,
7,0.17893890173152951,8,0.998461,0.0,,,,
8,0.3208118773809616,9,0.998271,0.0,,,,
9,0.12370324350908192,10,0.998062,0.0,,,,
10,-0.17860006163991515,9,0.997872,0.0,,,,
11,-0.05326226765822299,8,0.997701,0.0,,,,
12,0.30089013247767826,8,0.99753,0.0,,,,
13,0.7794234502842045,8,0.997359,0.0,,,,
14,-0.18123363526519082,8,0.997188,0.0,,,,
15,0.044287845856273475,9,0.996998,0.0,,,,
16,1.2389239536699508,10,0.996789,0.0,,,,
17,1.5693039859590583,11,0.996561,0.0,,,,
18,0.01386147406504279,8,0.99639,0.0,,,,
19,0.16316536259820497,8,0.996219,0.0,,,,
20,0.19028579403002335,13,0.995953,0.0,,,,
21,0.2301048072171442,8,0.995782,0.0,,,,
22,-0.14574986755140495,9,0.995592,0.0,,,,
23,0.52559057139133,8,0.995421,0.0,,,,
24,1.0910480729798506,8,0.99525,0.0,,,,
25,-0.09705432344586137,13,0.994984,0.0,,,,
26,0.2969864571579661,11,0.994756,0.0,,,,
27,0.1403303945574345,8,0.994585,0.0,,,,
28,-0.25323777946910575,9,0.994395,0.0,,,,
29,0.048854699856311135,8,0.994224,0.0,,,,
30,1.1769838848344258,20,0.993825,0.0,,,,
31,0.017969388628095714,8,0.993654,0.0,,,,
32,0.02373210254647585,10,0.993445,0.0,,,,
33,0.05918012633296382,8,0.993274,0.0,,,,
34,0.6339851841711354,8,0.993103,0.0,,,,
35,-0.060345094694281544,10,0.992894,0.0,,,,
36,0.12509365041121134,12,0.992647,0.0,,,,
37,0.27081290699509986,14,0.992362,0.0,,,,
38,1.3633326914323907,9,0.992172,0.0,,,,
39,-0.0010454490334290828,11,0.991944,0.0,,,,
40,0.06313962737209165,10,0.991735,0.0,,,,
41,1.0974127921549481,10,0.991526,0.0,,,,
42,0.12836353627020625,12,0.991279,0.0,,,,
43,-0.04079325247287001,8,0.991108,0.0,,,,
44,1.0509240930114998,9,0.990918,0.0,,,,
45,-0.18439096319612677,8,0.990747,0.0,,,,
46,-0.19105111958832421,8,0.990576,0.0,,,,
47,1.1585731346145023,9,0.990386,54687500.0,,,,
48,0.04184937457142347,8,0.990215,54687500.0,,,,
49,-0.02089483123989136,9,0.990025,31250000.0,,,,
50,0.5347411563603581,8,0.989854,31250000.0,,,,
51,0.02186692342005507,9,0.989664,41666666.666666664,,,,
52,0.0874766409133902,12,0.989417,41666666.666666664,,,,
53,0.04951837772517644,8,0.989246,54687500.0,,,,
54,-0.10555253119299982,11,0.989018,31250000.0,,,,
55,0.10787638891651581,8,0.988847,23437500.0,,,,
56,0.005782978478397649,9,0.988657,36458333.333333336,,,,
57,0.2450878467402832,10,0.988448,46875000.0,,,,
58,0.6268039394076307,14,0.988163,52083333.333333336,,,,
59,0.13232543064021618,9,0.987973,41666666.666666664,,,,
60,0.20021170264375834,13,0.987707,41666666.666666664,,,,
61,0.19385492412777544,8,0.987536,41666666.666666664,,,,
62,0.08514561291558022,9,0.987346,46875000.0,,,,
63,-0.007357566413535896,15,0.987042,31250000.0,,,,
64,-0.17662070200074462,8,0.986871,54687500.0,,,,
65,-0.04872397069844608,8,0.9867,62500000.0,,,,
66,0.18900599585751207,8,0.986529,54687500.0,,,,
67,-0.2716566869026928,9,0.986339,46875000.0,,,,
68,0.5282824531051646,8,0.986168,72916666.66666667,,,,
69,-0.011268080320529145,8,0.985997,78125000.0,,,,
70,0.22287445010849252,12,0.98575,36458333.419285215,,,,
71,1.521584792217105,12,0.985503,36458333.438559495,,,,
72,-0.091602365100755,9,0.985313,46875000.0,,,,
73,-0.08881183836999705,12,0.985066,72916666.66666667,,,,
74,-0.0016706095203075262,11,0.984838,52083333.333333336,,,,
75,0.2457163648613654,9,0.984648,52083333.333333336,,,,
76,0.08552947176096334,8,0.984477,31250000.155290768,,,,
77,0.37345993434909325,8,0.984306,39062500.0,,,,
78,0.5455989336586896,8,0.984135,70312500.0,,,,
79,0.10987044056028272,10,0.983926,41666666.666666664,,,,
80,0.09228379964783623,11,0.983698,57291666.666666664,,,,
81,0.12435725429742818,8,0.983527,23437500.0,,,,
82,0.4381927537517195,13,0.983261,58593750.0,,,,
83,0.5179675605905775,8,0.98309,46875000.1388253,,,,
