episode_id,cell_line_id,selected_gene,selected_index,selected_dependency,query_cost,n_queries,total_reward,n_query_cna,n_query_damaging_mutation,n_query_expression,n_query_hotspot_mutation
0,ACH-000417,ERCC3,7,-0.9712048192702762,0.16,8,0.8112048192702762,8,0,0,0
1,ACH-000552,FLT3,8,-0.1046098133956748,0.18,9,-0.0753901866043252,8,0,0,1
2,ACH-000172,BARD1,3,-0.5484504055872195,0.21999999999999997,11,0.3284504055872195,3,8,0,0
3,ACH-000422,KMT2D,2,-0.1471652884538452,0.16,8,-0.012834711546154814,2,3,2,1
4,ACH-000845,CHD4,12,-0.7769531642632684,0.16,8,0.6169531642632684,8,0,0,0
5,ACH-000444,SON,14,-0.9604640655212724,0.18,9,0.7804640655212725,9,0,0,0
6,ACH-002055,XPO1,3,-2.371056896549552,0.16,8,2.211056896549552,0,0,7,1
7,ACH-000302,SMC5,6,-0.42375507991,0.16,8,0.26375507991,4,0,1,3
8,ACH-001205,ANKRD11,1,0.2108051627467131,0.3,15,-0.5108051627467131,8,0,0,7
9,ACH-001528,RAC1,9,-0.8978636403728549,0.3,15,0.597863640372855,12,0,3,0
10,ACH-000478,CUL3,3,-0.3615368380703968,0.16,8,0.20153683807039682,3,3,2,0
11,ACH-001307,H3-3A,13,-1.1690368672527214,0.25999999999999995,13,0.9090368672527214,11,0,2,0
12,ACH-000959,MYH9,8,-0.922213234143439,0.19999999999999998,10,0.7222132341434391,8,0,0,2
13,ACH-000390,BAP1,10,-0.2232197913113063,0.16,8,0.06321979131130628,8,0,0,0
14,ACH-000915,NCAPD2,11,-0.9890518222404616,0.16,8,0.8290518222404616,8,0,0,0
15,ACH-000223,PIK3CA,10,-0.1850814814744242,0.16,8,0.025081481474424183,3,0,5,0
16,ACH-000097,VHL,15,-0.5815710650644348,0.16,8,0.42157106506443476,3,0,5,0
17,ACH-000323,SOX30,7,0.0729503060872664,0.3,15,-0.37295030608726637,0,0,8,7
18,ACH-000172,DBF4B,1,-0.236492586284731,0.21999999999999997,11,0.01649258628473102,3,8,0,0
19,ACH-001702,GATA3,10,-0.1541738727903362,0.21999999999999997,11,-0.06582612720966377,3,8,0,0
20,ACH-000627,MAX,13,-0.826131733153858,0.16,8,0.666131733153858,8,0,0,0
21,ACH-000272,ESR1,9,0.0469076761843921,0.27999999999999997,14,-0.3269076761843921,3,4,7,0
22,ACH-000191,PPP2R1A,11,-1.459626209444615,0.16,8,1.2996262094446152,7,0,1,0
