episode_id,cell_line_id,selected_gene,selected_index,selected_dependency,query_cost,n_queries,total_reward,n_query_cna,n_query_damaging_mutation,n_query_expression,n_query_hotspot_mutation
0,ACH-000417,ERCC3,7,-0.9712048192702762,0.16,8,0.8112048192702762,7,1,0,0
1,ACH-000552,KIF18A,6,-3.3760423938541426,0.21999999999999997,11,3.1560423938541424,0,3,8,0
2,ACH-000172,CHD4,9,-1.2336927489255478,0.16,8,1.073692748925548,8,0,0,0
3,ACH-000422,MYC,9,-2.084482650782212,0.16,8,1.9244826507822121,8,0,0,0
4,ACH-000845,CHD4,12,-0.7769531642632684,0.16,8,0.6169531642632684,8,0,0,0
5,ACH-000444,SON,14,-0.9604640655212724,0.23999999999999996,12,0.7204640655212724,12,0,0,0
6,ACH-002055,XPO1,3,-2.371056896549552,0.16,8,2.211056896549552,4,3,1,0
7,ACH-000302,PCBP1,9,-1.6692705862878394,0.4000000000000001,20,1.2692705862878393,9,9,1,1
8,ACH-001205,TRAPPC8,10,-1.3488439380027129,0.19999999999999998,10,1.148843938002713,10,0,0,0
9,ACH-001528,RAC1,9,-0.8978636403728549,0.5600000000000002,28,0.33786364037285477,13,15,0,0
10,ACH-000478,H3-3A,14,-1.796293839012677,0.16,8,1.636293839012677,8,0,0,0
11,ACH-001307,H3-3A,13,-1.1690368672527214,0.16,8,1.0090368672527215,3,5,0,0
12,ACH-000959,KIF18A,4,-1.699575166073721,0.16,8,1.5395751660737211,1,4,2,1
13,ACH-000390,EIF1AX,4,-2.3364030014521693,0.19999999999999998,10,2.136403001452169,10,0,0,0
14,ACH-000915,NCAPD2,11,-0.9890518222404616,0.18,9,0.8090518222404617,9,0,0,0
15,ACH-000223,EEF1A1,7,-1.2046582010549098,0.16,8,1.04465820105491,6,2,0,0
16,ACH-000097,VHL,15,-0.5815710650644348,0.6400000000000002,32,-0.058428934935565446,16,16,0,0
17,ACH-000323,EIF1AX,8,-2.2139732514964847,0.16,8,2.0539732514964846,6,1,1,0
18,ACH-000172,CCND1,9,-0.9123303606210482,0.16,8,0.7523303606210482,8,0,0,0
