episode_id,cell_line_id,selected_gene,selected_index,selected_dependency,query_cost,n_queries,total_reward,n_query_cna,n_query_damaging_mutation,n_query_expression,n_query_hotspot_mutation
0,ACH-000417,DIS3,11,-0.563767111697482,0.16,8,0.4037671116974819,0,0,8,0
1,ACH-000552,KIF18A,6,-3.3760423938541426,0.16,8,3.2160423938541425,8,0,0,0
2,ACH-000172,CHD4,9,-1.2336927489255478,0.19999999999999998,10,1.0336927489255479,0,0,10,0
3,ACH-000422,MYC,9,-2.084482650782212,0.16,8,1.9244826507822121,0,0,8,0
4,ACH-000845,CHD4,12,-0.7769531642632684,0.16,8,0.6169531642632684,0,0,8,0
5,ACH-000444,SON,14,-0.9604640655212724,0.4200000000000001,21,0.5404640655212722,0,4,16,1
6,ACH-002055,XPO1,3,-2.371056896549552,0.16,8,2.211056896549552,0,0,8,0
7,ACH-000302,EIF1AX,8,-2.678016289084915,0.16,8,2.518016289084915,8,0,0,0
8,ACH-001205,TRAPPC8,10,-1.3488439380027129,0.21999999999999997,11,1.1288439380027129,0,0,11,0
9,ACH-001528,RAC1,9,-0.8978636403728549,0.4200000000000001,21,0.47786364037285484,16,0,4,1
10,ACH-000478,H3-3A,14,-1.796293839012677,0.16,8,1.636293839012677,0,0,8,0
11,ACH-001307,H3-3A,13,-1.1690368672527214,0.16,8,1.0090368672527215,5,0,3,0
12,ACH-000959,KIF18A,4,-1.699575166073721,0.16,8,1.5395751660737211,8,0,0,0
13,ACH-000390,EIF1AX,4,-2.3364030014521693,0.23999999999999996,12,2.0964030014521695,0,0,12,0
14,ACH-000915,NCAPD2,11,-0.9890518222404616,0.23999999999999996,12,0.7490518222404616,0,0,12,0
15,ACH-000223,EEF1A1,7,-1.2046582010549098,0.16,8,1.04465820105491,5,0,3,0
16,ACH-000097,VHL,15,-0.5815710650644348,0.36000000000000004,18,0.22157106506443475,1,0,16,1
17,ACH-000323,EIF1AX,8,-2.2139732514964847,0.16,8,2.0539732514964846,0,0,8,0
18,ACH-000172,CCND1,9,-0.9123303606210482,0.19999999999999998,10,0.7123303606210483,0,0,10,0
19,ACH-001702,MAX,11,-0.8335965869592336,0.32,16,0.5135965869592336,0,0,16,0
20,ACH-000627,MAX,13,-0.826131733153858,0.32,16,0.506131733153858,0,0,16,0
21,ACH-000272,EIF1AX,8,-1.1390970769714652,0.16,8,0.9790970769714652,0,0,8,0
22,ACH-000191,PPP2R1A,11,-1.459626209444615,0.16,8,1.2996262094446152,3,0,4,1
23,ACH-000552,APC,6,-1.272117978509538,0.5200000000000001,26,0.7521179785095379,16,0,9,1
24,ACH-000097,POLE,5,-1.488831150147397,0.16,8,1.328831150147397,2,0,6,0
25,ACH-000371,SON,4,-1.2570513243849812,0.25999999999999995,13,0.9970513243849812,0,0,13,0
26,ACH-002705,RFC5,5,-1.4207611324289109,0.16,8,1.260761132428911,0,3,5,0
27,ACH-000030,H3-3A,11,-1.8741200531751503,0.16,8,1.7141200531751504,0,0,8,0
28,ACH-000011,VHL,14,-0.5351695368998906,0.32,16,0.21516953689989055,0,0,16,0
29,ACH-000697,RFC5,4,-1.7025395259713765,0.16,8,1.5425395259713766,0,0,8,0
30,ACH-001502,TACC3,13,-0.6825399320088865,0.5400000000000001,27,0.14253993200888637,0,0,16,11
31,ACH-000978,TRRAP,3,-1.847826594010322,0.16,8,1.687826594010322,8,0,0,0
32,ACH-000959,SMC5,6,-0.9219987242539918,0.36000000000000004,18,0.5619987242539917,16,0,1,1
33,ACH-000381,TRAPPC8,8,-0.9244750217013552,0.18,9,0.7444750217013552,9,0,0,0
34,ACH-000435,RARS2,7,-0.5213903432397112,0.32,16,0.20139034323971122,16,0,0,0
35,ACH-001054,POLE,1,-1.9576637284618617,0.3,15,1.6576637284618616,0,0,15,0
36,ACH-000144,PCBP1,9,-1.8443416735635787,0.19999999999999998,10,1.6443416735635787,0,3,7,0
37,ACH-000422,ERCC3,12,-1.1951280963734892,0.16,8,1.0351280963734892,0,0,8,0
38,ACH-001054,CNOT3,4,-1.3129996021506063,0.23999999999999996,12,1.0729996021506063,0,0,12,0
39,ACH-000541,DHPS,10,-0.5422572273362405,0.21999999999999997,11,0.3222572273362405,0,0,11,0
40,ACH-000381,CTCF,11,-2.018059979473116,0.23999999999999996,12,1.778059979473116,12,0,0,0
41,ACH-001547,CRNKL1,15,-1.7997859604277675,0.16,8,1.6397859604277676,0,0,8,0
42,ACH-001791,SMC5,15,-1.1281995911779523,0.36000000000000004,18,0.7681995911779522,1,1,16,0
43,ACH-000390,RFC5,5,-0.9944569105316534,0.21999999999999997,11,0.7744569105316534,0,0,11,0
44,ACH-000718,SMC4,6,-1.2303792977193495,0.19999999999999998,10,1.0303792977193496,0,0,10,0
45,ACH-001699,PCBP1,4,-1.3098266704457755,0.23999999999999996,12,1.0698266704457755,0,0,12,0
46,ACH-001702,SF3B1,3,-1.5289177591742014,0.34,17,1.1889177591742013,0,1,16,0
47,ACH-001502,CUL3,15,-0.7775966895053337,0.5400000000000001,27,0.23759668950533352,0,0,16,11
48,ACH-000552,XPO1,2,-1.2883116650458817,0.16,8,1.1283116650458818,1,0,7,0
49,ACH-000191,SON,0,-0.9204689735687632,0.32,16,0.6004689735687632,12,0,4,0
50,ACH-001431,PCBP1,0,-0.9929967534320622,0.16,8,0.8329967534320621,0,0,8,0
51,ACH-000356,RAC1,15,-0.4376158569240434,0.32,16,0.11761585692404342,0,3,13,0
52,ACH-001737,NCAPD2,12,-1.2292886273848118,0.25999999999999995,13,0.9692886273848118,0,0,13,0
53,ACH-003590,EIF1AX,6,-1.3483742897927675,0.48000000000000015,24,0.8683742897927673,8,0,16,0
54,ACH-000371,SF3B1,7,-1.3412572803084262,0.48000000000000015,24,0.861257280308426,8,0,16,0
55,ACH-000202,STIL,8,-0.2226327660348701,0.46000000000000013,23,-0.23736723396513004,16,0,0,7
56,ACH-001618,SMARCA4,12,-0.0643710091297897,0.25999999999999995,13,-0.19562899087021024,0,0,13,0
57,ACH-000435,TRRAP,2,-1.8557460968830697,0.16,8,1.6957460968830698,8,0,0,0
58,ACH-000391,MYC,5,-2.498093946988168,0.34,17,2.158093946988168,13,0,4,0
59,ACH-000637,XRCC5,12,-0.7996193882507213,0.32,16,0.4796193882507213,0,3,13,0
60,ACH-000915,ZNHIT6,12,-0.5661112348979077,0.32,16,0.2461112348979077,0,0,16,0
61,ACH-000541,PPP2R1A,15,-0.7806288599017575,0.32,16,0.46062885990175745,0,0,16,0
62,ACH-000541,KIF18A,1,-0.9781356037448176,0.16,8,0.8181356037448175,0,0,8,0
63,ACH-000030,EIF1AX,4,-2.1443092456875847,0.23999999999999996,12,1.9043092456875848,0,0,12,0
64,ACH-002142,SRSF2,5,-2.319153720515064,0.16,8,2.159153720515064,4,0,4,0
65,ACH-000581,UPF2,1,-1.5070602511137934,0.16,8,1.3470602511137935,0,4,4,0
66,ACH-000664,MTOR,4,-1.1224042086527506,0.48000000000000015,24,0.6424042086527504,0,1,16,7
67,ACH-000630,SF3B1,9,-1.653505515814791,0.16,8,1.4935055158147912,0,0,8,0
68,ACH-000290,PPP2R1A,7,-1.0567223580533167,0.18,9,0.8767223580533168,0,0,9,0
69,ACH-000244,EIF2B3,4,-1.0826187556965463,0.23999999999999996,12,0.8426187556965463,0,0,12,0
70,ACH-002705,UPF2,2,-1.104537837562945,0.16,8,0.9445378375629451,0,3,5,0
71,ACH-000627,CRNKL1,8,-1.887053914645609,0.16,8,1.727053914645609,0,0,8,0
72,ACH-001699,DIS3,0,-0.8484696759358984,0.4000000000000001,20,0.4484696759358983,0,2,16,2
73,ACH-000018,PCBP1,7,-1.1128961804699882,0.32,16,0.7928961804699881,9,0,7,0
74,ACH-000128,RARS2,13,-0.8480263757760557,0.36000000000000004,18,0.4880263757760556,0,0,16,2
75,ACH-000391,XPO1,15,-2.1431936986674085,0.32,16,1.8231936986674084,0,0,16,0
76,ACH-000581,SON,14,-1.1742886265177634,0.3,15,0.8742886265177634,0,4,11,0
77,ACH-000381,PCBP1,15,-1.9453172367653624,0.32,16,1.6253172367653623,16,0,0,0
78,ACH-000323,CNOT3,3,-1.127900538692534,0.25999999999999995,13,0.867900538692534,0,0,13,0
79,ACH-001431,H3-3A,7,-1.8761008227514728,0.16,8,1.716100822751473,0,0,8,0
80,ACH-000172,PIK3CA,6,-0.552916610727439,0.46000000000000013,23,0.0929166107274389,7,0,16,0
81,ACH-000334,EIF2B3,11,-1.221313985194537,0.23999999999999996,12,0.9813139851945369,0,0,12,0
82,ACH-000637,RFC5,2,-1.3228217333796113,0.16,8,1.1628217333796114,0,4,4,0
83,ACH-001699,BRD4,11,-1.038241485242819,0.16,8,0.878241485242819,0,0,8,0
84,ACH-000202,RGP1,10,-0.5297067144130937,0.5600000000000002,28,-0.03029328558690647,16,0,3,9
85,ACH-001737,DHX15,13,-1.364271847635642,0.27999999999999997,14,1.0842718476356419,0,0,14,0
86,ACH-000469,KIF18A,12,-1.815862000935063,0.16,8,1.655862000935063,0,0,8,0
87,ACH-000188,SF3B1,15,-1.2105053183985688,0.16,8,1.0505053183985689,0,0,8,0
88,ACH-000766,CENPN,13,-0.4991884124302624,0.16,8,0.33918841243026243,0,0,8,0
