OncotreeLineage,n_query_cna,n_query_damaging_mutation,n_query_expression,n_query_hotspot_mutation,n_episodes
Lung,1.1636363636363636,0.05454545454545454,11.872727272727273,0.0,55
Lymphoid,0.3333333333333333,0.0,12.018518518518519,0.0,54
Bowel,1.25,0.0,11.675,0.05,40
CNS/Brain,0.5526315789473685,0.0,12.18421052631579,0.0,38
Bone,1.303030303030303,0.0,12.969696969696969,0.36363636363636365,33
Esophagus/Stomach,1.3333333333333333,0.0,12.866666666666667,0.0,30
Uterus,0.5172413793103449,0.0,12.137931034482758,0.0,29
Thyroid,0.0,0.0,10.391304347826088,0.0,23
Bladder/Urinary Tract,0.0,0.0,9.478260869565217,0.0,23
Head and Neck,0.6521739130434783,0.043478260869565216,10.91304347826087,0.043478260869565216,23
Soft Tissue,0.18181818181818182,0.0,11.863636363636363,0.0,22
Breast,0.0,0.0,10.476190476190476,0.0,21
Skin,1.0526315789473684,0.0,9.789473684210526,0.0,19
Liver,7.533333333333333,0.2,4.666666666666667,0.06666666666666667,15
Myeloid,0.0,0.0,11.333333333333334,0.0,15
Peripheral Nervous System,0.25,0.16666666666666666,11.166666666666666,0.0,12
Ovary/Fallopian Tube,2.1818181818181817,0.0,11.727272727272727,0.0,11
Kidney,1.4545454545454546,0.0,10.0,0.0,11
Pancreas,0.5,0.4,8.3,0.0,10
Testis,7.125,0.0,12.125,0.0,8
Cervix,8.2,0.0,3.6,0.0,5
Pleura,0.0,0.0,8.333333333333334,0.0,3
