episode_id,cell_line_id,selected_gene,selected_dependency,dependency_regret,hit_at_k,n_queries,query_cost,total_reward,n_query_cna,n_query_damaging_mutation,n_query_expression,n_query_hotspot_mutation,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype
0,ACH-000417,ERCC3,-0.9712048192702762,0.0,1.0,8,0.16,0.8112048192702762,0,3,5,0,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma
1,ACH-000552,KIF18A,-3.3760423938541426,0.0,1.0,8,0.16,3.2160423938541425,0,0,8,0,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma
2,ACH-000172,CHD4,-1.2336927489255478,0.0,1.0,8,0.16,1.073692748925548,0,0,8,0,Soft Tissue,Rhabdoid Cancer,Extrarenal Rhabdoid Cancer
3,ACH-000422,MYC,-2.084482650782212,0.0,1.0,8,0.16,1.924482650782212,2,0,6,0,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma
5,ACH-000444,DHPS,-1.284714993462327,0.0,1.0,8,0.16,1.124714993462327,0,0,8,0,Lung,Non-Small Cell Lung Cancer,Giant Cell Carcinoma of the Lung
8,ACH-001205,TRAPPC8,-1.3488439380027129,0.0,1.0,8,0.16,1.188843938002713,0,0,8,0,Bone,Ewing Sarcoma,Ewing Sarcoma
11,ACH-001307,H3-3A,-1.1690368672527214,0.0,1.0,8,0.16,1.0090368672527217,0,0,8,0,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer
13,ACH-000390,EIF1AX,-2.3364030014521693,0.0,1.0,8,0.16,2.176403001452169,0,0,8,0,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma
14,ACH-000915,NCAPD2,-0.9890518222404616,0.0,1.0,8,0.16,0.8290518222404616,0,0,8,0,Skin,Melanoma,Cutaneous Melanoma
17,ACH-000323,EIF1AX,-2.2139732514964847,0.0,1.0,8,0.16,2.053973251496485,0,0,8,0,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype"
18,ACH-000172,CCND1,-0.9123303606210482,0.0,1.0,8,0.16,0.7523303606210482,0,0,8,0,Soft Tissue,Rhabdoid Cancer,Extrarenal Rhabdoid Cancer
22,ACH-000191,PPP2R1A,-1.459626209444615,0.0,1.0,8,0.16,1.2996262094446152,0,0,8,0,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer
33,ACH-000381,TRAPPC8,-0.9244750217013552,0.0,1.0,8,0.16,0.7644750217013552,0,0,8,0,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma
37,ACH-000422,ERCC3,-1.1951280963734892,0.0,1.0,8,0.16,1.0351280963734892,8,0,0,0,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma
40,ACH-000381,CTCF,-2.018059979473116,0.0,1.0,8,0.16,1.858059979473116,0,0,8,0,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma
41,ACH-001547,CRNKL1,-1.7997859604277675,0.0,1.0,8,0.16,1.6397859604277676,0,0,8,0,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type"
43,ACH-000390,RFC5,-0.9944569105316534,0.0,1.0,8,0.16,0.8344569105316534,0,0,8,0,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma
44,ACH-000718,SMC4,-1.2303792977193495,0.0,1.0,8,0.16,1.0703792977193496,0,0,8,0,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma
52,ACH-001737,NCAPD2,-1.2292886273848118,0.0,1.0,8,0.16,1.069288627384812,0,0,8,0,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Cell Acute Lymphoblastic Leukemia
61,ACH-000541,PPP2R1A,-0.7806288599017575,0.0,1.0,8,0.16,0.6206288599017574,0,0,8,0,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma
