episode_id,cell_line_id,step,action_type,gene,modality,observed_value,gene_true_rank,n_queries_so_far,cumulative_query_cost,cumulative_reward
0,ACH-000417,0,query,DXO,expression,0.07698720096895115,6,1,0.02,-0.02
0,ACH-000417,1,query,PRL,expression,-0.021218597070165324,12,2,0.04,-0.04
0,ACH-000417,2,query,DIS3,expression,0.7349512098587564,2,3,0.06,-0.06
0,ACH-000417,3,query,CTNNB1,expression,0.3484006941629424,3,4,0.08,-0.08
0,ACH-000417,4,query,ERCC3,expression,0.9990615692537035,1,5,0.1,-0.1
0,ACH-000417,5,query,TGOLN2,damaging_mutation,0.13259329986233387,10,6,0.12000000000000001,-0.12000000000000001
0,ACH-000417,6,query,CPQ,damaging_mutation,,7,7,0.14,-0.14
0,ACH-000417,7,query,FAT1,damaging_mutation,-0.0649249860976732,11,8,0.16,-0.16
0,ACH-000417,8,select,ERCC3,,,1,8,0.16,0.8112048192702762
1,ACH-000552,0,query,KIF18A,expression,1.373070628744392,1,1,0.02,-0.02
1,ACH-000552,1,query,SCG2,expression,0.021013618209086194,14,2,0.04,-0.04
1,ACH-000552,2,query,ARID2,expression,0.3859228877231934,3,3,0.06,-0.06
1,ACH-000552,3,query,FLT3,expression,0.13563758656725916,6,4,0.08,-0.08
1,ACH-000552,4,query,ZNF680,expression,0.05678394494451964,15,5,0.1,-0.1
1,ACH-000552,5,query,SLC25A32,expression,0.01542768893071389,16,6,0.12000000000000001,-0.12000000000000001
1,ACH-000552,6,query,COL21A1,expression,-0.01906715122486347,7,7,0.14,-0.14
1,ACH-000552,7,query,TOP2B,expression,-0.011413940568366948,8,8,0.16,-0.16
1,ACH-000552,8,select,KIF18A,,,1,8,0.16,3.2160423938541425
2,ACH-000172,0,query,ZNF823,expression,-0.055442721878548075,13,1,0.02,-0.02
2,ACH-000172,1,query,ZC3H4,expression,0.18709188965300175,3,2,0.04,-0.04
2,ACH-000172,2,query,AKT1,expression,0.11561850130903562,9,3,0.06,-0.06
2,ACH-000172,3,query,VWA5A,expression,-0.17374617148371982,16,4,0.08,-0.08
2,ACH-000172,4,query,SDHA,expression,0.30397613865465156,5,5,0.1,-0.1
2,ACH-000172,5,query,MYD88,expression,-0.02613530896599716,4,6,0.12000000000000001,-0.12000000000000001
2,ACH-000172,6,query,ZNF570,expression,-0.13445879262327878,6,7,0.14,-0.14
2,ACH-000172,7,query,CHD4,expression,1.1281913692360472,1,8,0.16,-0.16
2,ACH-000172,8,select,CHD4,,,1,8,0.16,1.073692748925548
3,ACH-000422,0,query,KCNT2,cna,-0.024142647969735552,11,1,0.02,-0.02
3,ACH-000422,1,query,MYC,cna,1.9440744218759132,1,2,0.04,-0.04
3,ACH-000422,2,query,MYBPC3,expression,0.09948739384895804,5,3,0.06,-0.06
3,ACH-000422,3,query,VWA5A,expression,-0.18185579043850572,16,4,0.08,-0.08
3,ACH-000422,4,query,BMPR1A,expression,0.28011622627841776,8,5,0.1,-0.1
3,ACH-000422,5,query,PATL1,expression,0.04425438037740789,13,6,0.12000000000000001,-0.12000000000000001
3,ACH-000422,6,query,VHL,expression,0.8085629715316279,2,7,0.14,-0.14
3,ACH-000422,7,query,DNAJA4,expression,-0.02376838234641863,12,8,0.16,-0.16
3,ACH-000422,8,select,MYC,,,1,8,0.16,1.9244826507822121
4,ACH-000845,0,query,CDH11,expression,0.006482404796355404,7,1,0.02,-0.02
4,ACH-000845,1,query,GNA11,expression,0.14147466368263562,5,2,0.04,-0.04
4,ACH-000845,2,query,GNAQ,expression,0.3159107303027508,2,3,0.06,-0.06
4,ACH-000845,3,query,BNC2,expression,-0.062641279581633,14,4,0.08,-0.08
4,ACH-000845,4,query,ASCC3,expression,0.4362307201990463,3,5,0.1,-0.1
4,ACH-000845,5,query,STK11,expression,0.2282299094852843,6,6,0.12000000000000001,-0.12000000000000001
4,ACH-000845,6,query,ILDR1,expression,-0.004771976424628353,8,7,0.14,-0.14
4,ACH-000845,7,query,DMXL2,expression,0.02486392951162473,4,8,0.16,-0.16
4,ACH-000845,8,query,KNSTRN,expression,0.0020395467045426115,15,9,0.18,-0.18
4,ACH-000845,9,query,SMAD4,expression,0.061961944400907104,9,10,0.19999999999999998,-0.19999999999999998
4,ACH-000845,10,query,LEPR,expression,0.08241265539390864,13,11,0.21999999999999997,-0.21999999999999997
4,ACH-000845,11,query,ZBED2,expression,-0.09086394112869658,12,12,0.23999999999999996,-0.23999999999999996
4,ACH-000845,12,query,CHD4,expression,1.1218569985867615,1,13,0.25999999999999995,-0.25999999999999995
4,ACH-000845,13,select,CHD4,,,1,13,0.25999999999999995,0.5169531642632685
5,ACH-000444,0,query,H3-3B,expression,0.36349924105025905,5,1,0.02,-0.02
