episode_id,cell_line_id,selected_gene,selected_index,selected_dependency,query_cost,n_queries,total_reward,n_query_cna,n_query_damaging_mutation,n_query_expression,n_query_hotspot_mutation
0,ACH-000417,ERCC3,7,-0.9712048192702762,0.16,8,0.8112048192702762,0,3,5,0
1,ACH-000552,KIF18A,6,-3.3760423938541426,0.16,8,3.2160423938541425,0,0,8,0
2,ACH-000172,CHD4,9,-1.2336927489255478,0.16,8,1.073692748925548,0,0,8,0
3,ACH-000422,MYC,9,-2.084482650782212,0.16,8,1.9244826507822121,2,0,6,0
4,ACH-000845,CHD4,12,-0.7769531642632684,0.25999999999999995,13,0.5169531642632685,0,0,13,0
5,ACH-000444,DHPS,8,-1.284714993462327,0.16,8,1.124714993462327,0,0,8,0
6,ACH-002055,SMARCB1,9,-1.1161455436307226,0.16,8,0.9561455436307226,0,0,8,0
7,ACH-000302,EIF1AX,8,-2.678016289084915,0.34,17,2.338016289084915,1,0,16,0
8,ACH-001205,TRAPPC8,10,-1.3488439380027129,0.16,8,1.188843938002713,0,0,8,0
9,ACH-001528,RAC1,9,-0.8978636403728549,0.27999999999999997,14,0.617863640372855,0,0,14,0
10,ACH-000478,H3-3A,14,-1.796293839012677,0.23999999999999996,12,1.556293839012677,7,0,5,0
11,ACH-001307,H3-3A,13,-1.1690368672527214,0.16,8,1.0090368672527215,0,0,8,0
12,ACH-000959,KIF18A,4,-1.699575166073721,0.19999999999999998,10,1.499575166073721,0,0,10,0
13,ACH-000390,EIF1AX,4,-2.3364030014521693,0.16,8,2.176403001452169,0,0,8,0
14,ACH-000915,NCAPD2,11,-0.9890518222404616,0.16,8,0.8290518222404616,0,0,8,0
15,ACH-000223,EEF1A1,7,-1.2046582010549098,0.18,9,1.02465820105491,0,0,9,0
16,ACH-000097,VHL,15,-0.5815710650644348,0.23999999999999996,12,0.3415710650644348,0,0,12,0
17,ACH-000323,EIF1AX,8,-2.2139732514964847,0.16,8,2.0539732514964846,0,0,8,0
18,ACH-000172,CCND1,9,-0.9123303606210482,0.16,8,0.7523303606210482,0,0,8,0
19,ACH-001702,MAX,11,-0.8335965869592336,0.32,16,0.5135965869592336,0,0,16,0
20,ACH-000627,MAX,13,-0.826131733153858,0.32,16,0.506131733153858,0,0,16,0
21,ACH-000272,EIF1AX,8,-1.1390970769714652,0.16,8,0.9790970769714652,0,0,8,0
22,ACH-000191,PPP2R1A,11,-1.459626209444615,0.16,8,1.2996262094446152,0,0,8,0
23,ACH-000552,SETD2,10,-0.6263519370065058,0.5800000000000002,29,0.04635193700650564,12,0,16,1
24,ACH-000097,SMC4,10,-1.3437899510301492,0.16,8,1.1837899510301493,0,0,8,0
25,ACH-000371,SON,4,-1.2570513243849812,0.23999999999999996,12,1.0170513243849812,0,0,12,0
26,ACH-002705,RFC5,5,-1.4207611324289109,0.32,16,1.1007611324289108,0,0,16,0
27,ACH-000030,H3-3A,11,-1.8741200531751503,0.21999999999999997,11,1.6541200531751503,0,0,11,0
28,ACH-000011,VHL,14,-0.5351695368998906,0.16,8,0.3751695368998905,0,0,8,0
29,ACH-000697,RFC5,4,-1.7025395259713765,0.23999999999999996,12,1.4625395259713765,0,0,12,0
30,ACH-001502,TACC3,13,-0.6825399320088865,0.48000000000000015,24,0.20253993200888637,8,0,16,0
31,ACH-000978,TRRAP,3,-1.847826594010322,0.25999999999999995,13,1.587826594010322,0,0,13,0
32,ACH-000959,SMC5,6,-0.9219987242539918,0.34,17,0.5819987242539917,1,0,16,0
33,ACH-000381,TRAPPC8,8,-0.9244750217013552,0.16,8,0.7644750217013552,0,0,8,0
34,ACH-000435,RARS2,7,-0.5213903432397112,0.36000000000000004,18,0.1613903432397112,2,0,16,0
35,ACH-001054,MAX,2,-1.1230648489770083,0.27999999999999997,14,0.8430648489770083,0,0,14,0
36,ACH-000144,PCBP1,9,-1.8443416735635787,0.46000000000000013,23,1.3843416735635785,7,0,16,0
37,ACH-000422,ERCC3,12,-1.1951280963734892,0.16,8,1.0351280963734892,8,0,0,0
38,ACH-001054,CNOT3,4,-1.3129996021506063,0.23999999999999996,12,1.0729996021506063,0,0,12,0
39,ACH-000541,DHPS,10,-0.5422572273362405,0.18,9,0.3622572273362405,0,0,9,0
40,ACH-000381,CTCF,11,-2.018059979473116,0.16,8,1.858059979473116,0,0,8,0
41,ACH-001547,CRNKL1,15,-1.7997859604277675,0.16,8,1.6397859604277676,0,0,8,0
42,ACH-001791,SMC5,15,-1.1281995911779523,0.32,16,0.8081995911779523,0,0,16,0
43,ACH-000390,RFC5,5,-0.9944569105316534,0.16,8,0.8344569105316534,0,0,8,0
44,ACH-000718,SMC4,6,-1.2303792977193495,0.16,8,1.0703792977193496,0,0,8,0
45,ACH-001699,CENPN,3,-1.2866996134985815,0.38000000000000006,19,0.9066996134985814,3,0,16,0
46,ACH-001702,CCND1,7,-0.8754089824405111,0.16,8,0.7154089824405111,0,0,8,0
47,ACH-001502,CUL3,15,-0.7775966895053337,0.4400000000000001,22,0.33759668950533356,6,0,16,0
48,ACH-000552,XPO1,2,-1.2883116650458817,0.27999999999999997,14,1.0083116650458817,0,0,14,0
49,ACH-000191,SON,0,-0.9204689735687632,0.32,16,0.6004689735687632,0,0,16,0
50,ACH-001431,PCBP1,0,-0.9929967534320622,0.32,16,0.6729967534320622,0,0,16,0
51,ACH-000356,RAC1,15,-0.4376158569240434,0.4200000000000001,21,0.017615856924043327,5,0,16,0
52,ACH-001737,NCAPD2,12,-1.2292886273848118,0.16,8,1.069288627384812,0,0,8,0
53,ACH-003590,EIF1AX,6,-1.3483742897927675,0.19999999999999998,10,1.1483742897927676,0,0,10,0
54,ACH-000371,SF3B1,7,-1.3412572803084262,0.18,9,1.1612572803084262,0,0,9,0
55,ACH-000202,STIL,8,-0.2226327660348701,0.4200000000000001,21,-0.19736723396513,5,0,16,0
56,ACH-001618,PTPN11,14,-0.5449521205881238,0.18,9,0.3649521205881238,0,0,9,0
57,ACH-000435,TRRAP,2,-1.8557460968830697,0.27999999999999997,14,1.5757460968830697,0,0,14,0
58,ACH-000391,MYC,5,-2.498093946988168,0.36000000000000004,18,2.138093946988168,2,0,16,0
59,ACH-000637,XRCC5,12,-0.7996193882507213,0.32,16,0.4796193882507213,0,0,16,0
60,ACH-000915,ZNHIT6,12,-0.5661112348979077,0.34,17,0.2261112348979077,1,0,16,0
61,ACH-000541,PPP2R1A,15,-0.7806288599017575,0.16,8,0.6206288599017574,0,0,8,0
62,ACH-000541,KIF18A,1,-0.9781356037448176,0.3,15,0.6781356037448176,0,0,15,0
63,ACH-000030,EIF1AX,4,-2.1443092456875847,0.16,8,1.9843092456875848,0,0,8,0
64,ACH-002142,SRSF2,5,-2.319153720515064,0.16,8,2.159153720515064,0,0,8,0
65,ACH-000581,UPF2,1,-1.5070602511137934,0.4200000000000001,21,1.0870602511137932,5,0,16,0
66,ACH-000664,UPF2,5,-1.0212694086180862,0.21999999999999997,11,0.8012694086180863,0,0,11,0
67,ACH-000630,SF3B1,9,-1.653505515814791,0.34,17,1.313505515814791,1,0,16,0
68,ACH-000290,PPP2R1A,7,-1.0567223580533167,0.16,8,0.8967223580533167,0,0,8,0
69,ACH-000244,EIF2B3,4,-1.0826187556965463,0.23999999999999996,12,0.8426187556965463,0,0,12,0
