episode_id,cell_line_id,selected_gene,selected_index,selected_dependency,query_cost,n_queries,total_reward,n_query_cna,n_query_damaging_mutation,n_query_expression,n_query_hotspot_mutation
0,ACH-000417,ERCC3,7,-0.9712048192702762,0.27999999999999997,14,0.6912048192702762,1,4,8,1
1,ACH-000552,KIF18A,6,-3.3760423938541426,0.16,8,3.2160423938541425,2,0,6,0
2,ACH-000172,CHD4,9,-1.2336927489255478,0.16,8,1.073692748925548,0,0,8,0
3,ACH-000422,VHL,12,-1.2207903308444144,0.16,8,1.0607903308444144,2,1,5,0
4,ACH-000845,CHD4,12,-0.7769531642632684,0.3,15,0.47695316426326845,3,0,12,0
5,ACH-000444,DHPS,8,-1.284714993462327,0.16,8,1.124714993462327,4,0,4,0
6,ACH-002055,XPO1,3,-2.371056896549552,0.16,8,2.211056896549552,1,0,7,0
7,ACH-000302,EIF1AX,8,-2.678016289084915,0.3,15,2.3780162890849152,6,7,2,0
8,ACH-001205,TRAPPC8,10,-1.3488439380027129,0.16,8,1.188843938002713,0,0,8,0
9,ACH-001528,RAC1,9,-0.8978636403728549,0.32,16,0.577863640372855,0,0,16,0
10,ACH-000478,H3-3A,14,-1.796293839012677,0.16,8,1.636293839012677,2,1,5,0
11,ACH-001307,H3-3A,13,-1.1690368672527214,0.27999999999999997,14,0.8890368672527214,0,0,14,0
12,ACH-000959,KIF18A,4,-1.699575166073721,0.16,8,1.5395751660737211,2,0,6,0
13,ACH-000390,EIF1AX,4,-2.3364030014521693,0.16,8,2.176403001452169,2,0,6,0
14,ACH-000915,NCAPD2,11,-0.9890518222404616,0.4200000000000001,21,0.5690518222404615,8,1,12,0
15,ACH-000223,ERCC2,4,-1.2445610211859337,0.16,8,1.0845610211859338,5,0,3,0
16,ACH-000097,ICE1,3,-1.3922539859433556,0.16,8,1.2322539859433557,5,0,3,0
17,ACH-000323,EIF1AX,8,-2.2139732514964847,0.16,8,2.0539732514964846,0,0,8,0
18,ACH-000172,CCND1,9,-0.9123303606210482,0.16,8,0.7523303606210482,0,0,8,0
19,ACH-001702,MAX,11,-0.8335965869592336,0.6400000000000002,32,0.19359658695923332,8,8,16,0
20,ACH-000627,MAX,13,-0.826131733153858,0.23999999999999996,12,0.586131733153858,2,0,10,0
21,ACH-000272,MYC,3,-1.2393787618839904,0.16,8,1.0793787618839905,0,4,4,0
22,ACH-000191,PPP2R1A,11,-1.459626209444615,0.23999999999999996,12,1.219626209444615,0,0,12,0
23,ACH-000552,SETD2,10,-0.6263519370065058,0.6400000000000002,32,-0.013648062993494414,16,2,14,0
24,ACH-000097,POLE,5,-1.488831150147397,0.16,8,1.328831150147397,4,0,4,0
25,ACH-000371,SON,4,-1.2570513243849812,0.16,8,1.0970513243849813,1,0,7,0
