episode_id,cell_line_id,selected_gene,selected_index,selected_dependency,query_cost,n_queries,total_reward,n_query_cna,n_query_damaging_mutation,n_query_expression,n_query_hotspot_mutation
0,ACH-000417,ERCC3,7,-0.9712048192702762,0.18,9,0.7912048192702763,0,0,9,0
1,ACH-000552,KIF18A,6,-3.3760423938541426,0.16,8,3.2160423938541425,7,0,1,0
2,ACH-000172,CHD4,9,-1.2336927489255478,0.19999999999999998,10,1.0336927489255479,0,0,10,0
3,ACH-000422,MYC,9,-2.084482650782212,0.16,8,1.9244826507822121,2,6,0,0
4,ACH-000845,CHD4,12,-0.7769531642632684,0.16,8,0.6169531642632684,1,0,7,0
5,ACH-000444,SON,14,-0.9604640655212724,0.19999999999999998,10,0.7604640655212724,5,0,3,2
6,ACH-002055,XPO1,3,-2.371056896549552,0.16,8,2.211056896549552,1,1,3,3
7,ACH-000302,EIF1AX,8,-2.678016289084915,0.38000000000000006,19,2.298016289084915,14,1,1,3
8,ACH-001205,TRAPPC8,10,-1.3488439380027129,0.16,8,1.188843938002713,2,1,4,1
9,ACH-001528,RAC1,9,-0.8978636403728549,0.34,17,0.557863640372855,0,0,16,1
10,ACH-000478,H3-3A,14,-1.796293839012677,0.48000000000000015,24,1.3162938390126768,15,8,1,0
11,ACH-001307,H3-3A,13,-1.1690368672527214,0.32,16,0.8490368672527213,1,0,13,2
12,ACH-000959,KIF18A,4,-1.699575166073721,0.16,8,1.5395751660737211,6,0,1,1
13,ACH-000390,EIF1AX,4,-2.3364030014521693,0.23999999999999996,12,2.0964030014521695,0,0,12,0
14,ACH-000915,NCAPD2,11,-0.9890518222404616,0.23999999999999996,12,0.7490518222404616,6,1,5,0
15,ACH-000223,EEF1A1,7,-1.2046582010549098,0.18,9,1.02465820105491,9,0,0,0
16,ACH-000097,VHL,15,-0.5815710650644348,0.16,8,0.42157106506443476,8,0,0,0
17,ACH-000323,MAX,13,-0.7701216959641581,0.16,8,0.6101216959641581,7,0,1,0
18,ACH-000172,CCND1,9,-0.9123303606210482,0.19999999999999998,10,0.7123303606210483,0,0,10,0
19,ACH-001702,MAX,11,-0.8335965869592336,0.34,17,0.49359658695923353,1,0,16,0
