episode_id,cell_line_id,selected_gene,selected_index,selected_dependency,query_cost,n_queries,total_reward,n_query_cna,n_query_damaging_mutation,n_query_expression,n_query_hotspot_mutation
0,ACH-000417,DIS3,11,-0.563767111697482,0.16,8,0.4037671116974819,8,0,0,0
1,ACH-000552,KIF18A,6,-3.3760423938541426,0.16,8,3.2160423938541425,8,0,0,0
2,ACH-000172,CHD4,9,-1.2336927489255478,0.16,8,1.073692748925548,8,0,0,0
3,ACH-000422,MYC,9,-2.084482650782212,0.16,8,1.9244826507822121,8,0,0,0
4,ACH-000845,CHD4,12,-0.7769531642632684,0.25999999999999995,13,0.5169531642632685,13,0,0,0
5,ACH-000444,DHPS,8,-1.284714993462327,0.16,8,1.124714993462327,8,0,0,0
6,ACH-002055,SMARCB1,9,-1.1161455436307226,0.16,8,0.9561455436307226,8,0,0,0
7,ACH-000302,EIF1AX,8,-2.678016289084915,0.16,8,2.518016289084915,7,1,0,0
8,ACH-001205,TRAPPC8,10,-1.3488439380027129,0.16,8,1.188843938002713,7,1,0,0
9,ACH-001528,RAC1,9,-0.8978636403728549,0.16,8,0.7378636403728549,8,0,0,0
10,ACH-000478,H3-3A,14,-1.796293839012677,0.3,15,1.496293839012677,15,0,0,0
11,ACH-001307,H3-3A,13,-1.1690368672527214,0.16,8,1.0090368672527215,8,0,0,0
12,ACH-000959,KIF18A,4,-1.699575166073721,0.16,8,1.5395751660737211,8,0,0,0
13,ACH-000390,EIF1AX,4,-2.3364030014521693,0.16,8,2.176403001452169,8,0,0,0
14,ACH-000915,NCAPD2,11,-0.9890518222404616,0.16,8,0.8290518222404616,8,0,0,0
15,ACH-000223,EEF1A1,7,-1.2046582010549098,0.16,8,1.04465820105491,7,1,0,0
16,ACH-000097,ICE1,3,-1.3922539859433556,0.5200000000000001,26,0.8722539859433555,16,8,1,1
17,ACH-000323,EIF1AX,8,-2.2139732514964847,0.16,8,2.0539732514964846,8,0,0,0
18,ACH-000172,CCND1,9,-0.9123303606210482,0.16,8,0.7523303606210482,8,0,0,0
19,ACH-001702,MAX,11,-0.8335965869592336,0.16,8,0.6735965869592335,8,0,0,0
20,ACH-000627,MAX,13,-0.826131733153858,0.34,17,0.486131733153858,16,0,0,1
21,ACH-000272,EIF1AX,8,-1.1390970769714652,0.16,8,0.9790970769714652,8,0,0,0
