OncotreeLineage,n_query_cna,n_query_damaging_mutation,n_query_expression,n_query_hotspot_mutation,n_episodes
Lung,0.0,0.3090909090909091,11.254545454545454,0.01818181818181818,55
Lymphoid,0.0,0.9629629629629629,12.944444444444445,0.037037037037037035,54
Bowel,0.0,0.4,11.825,0.0,40
CNS/Brain,0.0,0.23684210526315788,11.447368421052632,0.0,38
Bone,0.0,0.48484848484848486,12.242424242424242,0.030303030303030304,33
Esophagus/Stomach,0.0,0.0,11.5,0.0,30
Uterus,0.0,0.1724137931034483,11.724137931034482,0.0,29
Thyroid,0.0,1.0869565217391304,12.26086956521739,0.0,23
Bladder/Urinary Tract,0.0,0.043478260869565216,11.478260869565217,0.0,23
Head and Neck,0.0,0.0,10.434782608695652,0.0,23
Soft Tissue,0.0,0.5454545454545454,12.409090909090908,0.0,22
Breast,0.0,0.2857142857142857,13.047619047619047,0.047619047619047616,21
Skin,0.0,0.631578947368421,10.68421052631579,0.0,19
Liver,0.0,0.7333333333333333,11.466666666666667,0.06666666666666667,15
Myeloid,0.0,0.0,14.4,0.0,15
Peripheral Nervous System,0.0,0.0,12.083333333333334,0.0,12
Ovary/Fallopian Tube,0.0,1.4545454545454546,11.909090909090908,0.0,11
Kidney,0.0,1.0909090909090908,11.909090909090908,0.0,11
Pancreas,0.0,0.0,9.7,0.0,10
Testis,0.0,1.625,14.5,0.0,8
Cervix,0.0,0.0,11.2,0.0,5
Pleura,0.0,0.0,13.0,0.0,3
