episode_id,cell_line_id,selected_gene,selected_index,selected_dependency,query_cost,n_queries,total_reward,n_query_cna,n_query_damaging_mutation,n_query_expression,n_query_hotspot_mutation,hit_at_k,dependency_regret
0,ACH-000417,ERCC3,7,-0.9712048192702762,0.16,8,0.8112048192702762,0,0,8,0,1.0,0.0
1,ACH-000552,KIF18A,6,-3.3760423938541426,0.16,8,3.2160423938541425,0,0,8,0,1.0,0.0
2,ACH-000172,CHD4,9,-1.2336927489255478,0.16,8,1.073692748925548,0,0,8,0,1.0,0.0
3,ACH-000422,MYC,9,-2.084482650782212,0.16,8,1.9244826507822121,0,0,8,0,1.0,0.0
4,ACH-000845,CHD4,12,-0.7769531642632684,0.18,9,0.5969531642632684,0,0,9,0,1.0,0.0
5,ACH-000444,DHPS,8,-1.284714993462327,0.16,8,1.124714993462327,0,0,8,0,1.0,0.0
6,ACH-002055,SMARCB1,9,-1.1161455436307226,0.16,8,0.9561455436307226,0,0,8,0,1.0,1.2549113529188296
7,ACH-000302,EIF1AX,8,-2.678016289084915,0.32,16,2.3580162890849152,0,0,16,0,1.0,0.0
8,ACH-001205,TRAPPC8,10,-1.3488439380027129,0.16,8,1.188843938002713,0,0,8,0,1.0,0.0
9,ACH-001528,RAC1,9,-0.8978636403728549,0.32,16,0.577863640372855,0,0,16,0,1.0,0.0
10,ACH-000478,H3-3A,14,-1.796293839012677,0.25999999999999995,13,1.536293839012677,0,0,13,0,1.0,0.0
11,ACH-001307,H3-3A,13,-1.1690368672527214,0.21999999999999997,11,0.9490368672527214,0,0,11,0,1.0,0.0
12,ACH-000959,KIF18A,4,-1.699575166073721,0.16,8,1.5395751660737211,0,0,8,0,1.0,0.0
13,ACH-000390,EIF1AX,4,-2.3364030014521693,0.16,8,2.176403001452169,0,0,8,0,1.0,0.0
14,ACH-000915,NCAPD2,11,-0.9890518222404616,0.16,8,0.8290518222404616,0,0,8,0,1.0,0.0
15,ACH-000223,EEF1A1,7,-1.2046582010549098,0.16,8,1.04465820105491,0,0,7,1,1.0,0.039902820131023864
16,ACH-000097,ICE1,3,-1.3922539859433556,0.32,16,1.0722539859433555,0,0,16,0,1.0,0.0
17,ACH-000323,EIF1AX,8,-2.2139732514964847,0.16,8,2.0539732514964846,0,0,8,0,1.0,0.0
18,ACH-000172,CCND1,9,-0.9123303606210482,0.16,8,0.7523303606210482,0,0,8,0,1.0,0.0
19,ACH-001702,MAX,11,-0.8335965869592336,0.32,16,0.5135965869592336,0,0,16,0,1.0,0.0
20,ACH-000627,MAX,13,-0.826131733153858,0.32,16,0.506131733153858,0,0,16,0,1.0,0.0
