episode,total_reward,n_queries,epsilon,loss,validation_total_reward,validation_n_queries,validation_selected_dependency,validation_hit_at_k
0,0.3926155874016426,8,0.35314500000000004,0.3406997174024582,,,,
1,-0.3815455076922011,15,0.3516250000000001,0.25379642471671104,,,,
2,-0.3993315596735386,13,0.350295,0.180381640791893,,,,
3,-0.019962611086589366,13,0.34896499999999997,0.09941205382347107,,,,
4,0.6327847594292447,8,0.34811000000000003,0.0861123725771904,,,,
5,0.2816789865998286,11,0.34697,0.07554113368193309,,,,
6,-0.07969081149691726,12,0.345735,0.1194809153676033,,,,
7,-0.19038770782302608,9,0.344785,0.05696715911229452,,,,
8,-0.3678030803350264,12,0.34355000000000013,0.05810185894370079,,,,
9,-0.38630050872647304,18,0.3417450000000001,0.06825612112879753,,,,
10,-0.1520983038870558,16,0.34013000000000004,0.05642829881981015,,,,
11,0.004325807313535018,11,0.33899,0.06979253143072128,,,,
12,-0.28368870211575564,13,0.33765999999999996,0.050307752564549446,,,,
13,-0.16124321337900824,17,0.3359500000000001,0.051563444547355175,,,,
14,-0.27262290135397427,19,0.33405000000000007,0.11943208426237106,,,,
15,-0.2988793265117707,14,0.33262500000000006,0.20045821741223335,,,,
16,-0.105172391527053,8,0.33177,0.12001820281147957,,,,
17,-0.5214671929025236,20,0.32977500000000004,0.09055910557508469,,,,
18,-0.00763588192078235,14,0.32835000000000003,0.04354540631175041,,,,
19,-0.06793032937815388,11,0.32721,0.05456030244628588,,,,
20,0.017423616366413514,12,0.325975,0.0639999620616436,,,,
21,-0.12029795652381248,14,0.3245500000000001,0.04369996441528201,,,,
22,-0.3227793022650924,12,0.323315,0.03512074922521909,,,,
23,-0.500363523740569,17,0.32160500000000003,0.03691425323486328,,,,
24,-0.3104351651280789,10,0.32056000000000007,0.05007716889182726,,,,
25,-0.5019843321228442,10,0.319515,0.031151894479990005,,,,
26,0.053653123824632803,10,0.31847000000000003,0.047662886480490364,,,,
27,-0.12342408784418148,10,0.31742499999999996,0.051526281982660294,,,,
28,-0.1310587827882856,9,0.31647499999999995,0.07066209055483341,,,,
29,-0.20688330318168208,15,0.3149550000000001,0.03536418220028281,,,,
30,-0.5533509767019671,18,0.31315000000000004,0.03642395548522472,,,,
31,-0.11034553219899201,8,0.312295,0.04510071687400341,,,,
32,-0.00816227764044039,8,0.31144000000000005,0.03952932357788086,,,,
33,-0.26555912088701705,13,0.3101100000000001,0.053895274798075356,,,,
34,-0.39077045942837857,11,0.30896999999999997,0.04981804514924685,,,,
35,-0.26108609472859834,12,0.307735,0.01934783284862836,,,,
36,0.5572295526040489,13,0.30640500000000004,0.03651975002139807,,,,
37,-0.6091635737550453,19,0.304505,0.041559860482811926,,,,
38,-0.3218975301549379,11,0.3033650000000001,0.04736453667283058,,,,
39,0.2499833215513429,19,0.3014650000000001,0.04500338062644005,,,,
40,1.6608638275623482,8,0.30061000000000004,0.05251478962600231,,,,
41,-0.0602202951315432,8,0.2997550000000001,0.03811909258365631,,,,
42,0.0290985433238255,21,0.29766500000000007,0.037548778423418604,,,,
43,0.2771801437520825,13,0.296335,0.06128198653459549,,,,
44,-0.5853499832810579,27,0.293675,0.05653127362685544,,,,
45,-0.305177837412845,8,0.2928200000000001,0.04330292530357838,,,,
46,-0.41102322772133704,19,0.29092000000000007,0.045114503055810926,,,,
47,0.5409565796722704,9,0.28997000000000006,0.025290729478001595,,,,
48,-0.32048489055083046,11,0.28883000000000003,0.041013311594724655,,,,
49,-0.4169838357704607,18,0.2870250000000001,0.058526025339961055,,,,
50,-0.282057000964567,11,0.28588500000000006,0.18701412777105966,,,,
51,0.30168917024858244,8,0.28503,0.09153667464852333,,,,
52,0.6511397356347122,9,0.28408,0.07684403906265895,,,,
53,-0.35790586154662685,11,0.28293999999999997,0.07262733827034633,,,,
54,-0.03643234976733439,9,0.28198999999999996,0.04112602397799492,,,,
55,-0.0578028160469137,8,0.281135,0.06315272115170956,,,,
56,-0.22987318402650259,16,0.2795200000000001,0.06212863251566887,,,,
57,-0.7883862010352645,30,0.2765750000000001,0.04396386284913335,,,,
58,-0.0781105934539985,8,0.2757200000000001,0.032185773054758705,,,,
59,-0.007046097496720111,8,0.274865,0.03230627253651619,,,,
60,-0.2368219532313664,21,0.2727750000000001,0.049066110700368884,,,,
61,-0.05614507587222459,9,0.2718250000000001,0.03928857917586962,,,,
62,-0.2022736571095551,8,0.27097000000000004,0.041271135210990906,,,,
63,-0.02344102209330931,8,0.2701150000000001,0.021934199146926403,,,,
64,-0.5132873686674113,14,0.26869,0.030869578942656517,,,,
65,0.2673892530957299,9,0.26774,0.027410126601656277,,,,
66,0.11447341115796339,17,0.2660300000000001,0.042937664315104485,,,,
67,-0.4118946081707396,15,0.26451,0.027557408902794123,,,,
68,0.2549491197718313,10,0.26346500000000006,0.026671802004178364,,,,
69,-0.644632562215929,11,0.26232500000000003,0.030250022187829018,,,,
70,1.1860898945363305,9,0.261375,0.031204975210130215,,,,
