episode_id,cell_line_id,selected_gene,selected_index,selected_dependency,query_cost,n_queries,total_reward,n_query_cna,n_query_damaging_mutation,n_query_expression,n_query_hotspot_mutation
0,ACH-000417,ERCC3,7,-0.9712048192702762,0.34,17,0.6312048192702762,0,1,16,0
1,ACH-000552,KIF18A,6,-3.3760423938541426,0.16,8,3.2160423938541425,0,1,7,0
2,ACH-000172,CHD4,9,-1.2336927489255478,0.16,8,1.073692748925548,2,0,6,0
3,ACH-000422,MYC,9,-2.084482650782212,0.16,8,1.9244826507822121,1,1,6,0
4,ACH-000845,CHD4,12,-0.7769531642632684,0.23999999999999996,12,0.5369531642632684,2,0,10,0
5,ACH-000444,SON,14,-0.9604640655212724,0.3,15,0.6604640655212723,5,0,10,0
6,ACH-002055,XPO1,3,-2.371056896549552,0.16,8,2.211056896549552,2,0,6,0
7,ACH-000302,EIF1AX,8,-2.678016289084915,0.36000000000000004,18,2.318016289084915,12,1,5,0
8,ACH-001205,TRAPPC8,10,-1.3488439380027129,0.16,8,1.188843938002713,1,0,7,0
9,ACH-001528,RAC1,9,-0.8978636403728549,0.32,16,0.577863640372855,6,0,10,0
10,ACH-000478,H3-3A,14,-1.796293839012677,0.3,15,1.496293839012677,3,0,12,0
11,ACH-001307,H3-3A,13,-1.1690368672527214,0.27999999999999997,14,0.8890368672527214,3,0,11,0
12,ACH-000959,KIF18A,4,-1.699575166073721,0.16,8,1.5395751660737211,3,0,5,0
13,ACH-000390,EIF1AX,4,-2.3364030014521693,0.16,8,2.176403001452169,2,1,5,0
14,ACH-000915,NCAPD2,11,-0.9890518222404616,0.18,9,0.8090518222404617,0,0,9,0
15,ACH-000223,EEF1A1,7,-1.2046582010549098,0.16,8,1.04465820105491,2,2,4,0
16,ACH-000097,ICE1,3,-1.3922539859433556,0.34,17,1.0522539859433555,5,0,12,0
17,ACH-000323,EIF1AX,8,-2.2139732514964847,0.16,8,2.0539732514964846,4,0,4,0
18,ACH-000172,CCND1,9,-0.9123303606210482,0.16,8,0.7523303606210482,1,1,6,0
19,ACH-001702,MAX,11,-0.8335965869592336,0.36000000000000004,18,0.4735965869592335,4,1,13,0
20,ACH-000627,MAX,13,-0.826131733153858,0.3,15,0.526131733153858,3,0,12,0
21,ACH-000272,EIF1AX,8,-1.1390970769714652,0.16,8,0.9790970769714652,3,1,4,0
22,ACH-000191,PPP2R1A,11,-1.459626209444615,0.18,9,1.2796262094446151,0,0,9,0
23,ACH-000552,SETD2,10,-0.6263519370065058,0.4200000000000001,21,0.20635193700650573,11,0,10,0
24,ACH-000097,POLE,5,-1.488831150147397,0.4000000000000001,20,1.0888311501473968,16,2,2,0
25,ACH-000371,SON,4,-1.2570513243849812,0.3,15,0.9570513243849812,0,0,15,0
26,ACH-002705,RFC5,5,-1.4207611324289109,0.38000000000000006,19,1.0407611324289108,10,2,7,0
27,ACH-000030,H3-3A,11,-1.8741200531751503,0.18,9,1.6941200531751504,0,0,9,0
28,ACH-000011,VHL,14,-0.5351695368998906,0.3,15,0.23516953689989056,5,0,10,0
29,ACH-000697,RFC5,4,-1.7025395259713765,0.16,8,1.5425395259713766,2,0,5,1
30,ACH-001502,TACC3,13,-0.6825399320088865,0.38000000000000006,19,0.30253993200888646,5,0,14,0
31,ACH-000978,TRRAP,3,-1.847826594010322,0.16,8,1.687826594010322,0,0,8,0
32,ACH-000959,CNOT9,9,-0.6975203018511372,0.34,17,0.3575203018511372,6,0,11,0
33,ACH-000381,TRAPPC8,8,-0.9244750217013552,0.16,8,0.7644750217013552,4,0,4,0
34,ACH-000435,BAP1,6,-0.91705113354949,0.34,17,0.5770511335494899,5,0,12,0
35,ACH-001054,POLE,1,-1.9576637284618617,0.23999999999999996,12,1.7176637284618617,0,0,12,0
36,ACH-000144,PCBP1,9,-1.8443416735635787,0.16,8,1.6843416735635788,2,0,6,0
37,ACH-000422,ERCC3,12,-1.1951280963734892,0.3,15,0.8951280963734891,4,0,11,0
38,ACH-001054,CNOT3,4,-1.3129996021506063,0.16,8,1.1529996021506064,2,1,5,0
39,ACH-000541,DHPS,10,-0.5422572273362405,0.3,15,0.2422572273362405,1,0,14,0
40,ACH-000381,CTCF,11,-2.018059979473116,0.18,9,1.838059979473116,0,0,9,0
41,ACH-001547,CRNKL1,15,-1.7997859604277675,0.32,16,1.4797859604277674,3,0,13,0
42,ACH-001791,SMC5,15,-1.1281995911779523,0.32,16,0.8081995911779523,6,0,10,0
43,ACH-000390,RFC5,5,-0.9944569105316534,0.16,8,0.8344569105316534,1,1,6,0
44,ACH-000718,SMC4,6,-1.2303792977193495,0.34,17,0.8903792977193494,2,1,13,1
45,ACH-001699,CENPN,3,-1.2866996134985815,0.4000000000000001,20,0.8866996134985814,12,2,6,0
46,ACH-001702,CCND1,7,-0.8754089824405111,0.16,8,0.7154089824405111,4,1,3,0
47,ACH-001502,CUL3,15,-0.7775966895053337,0.36000000000000004,18,0.41759668950533363,6,0,12,0
48,ACH-000552,XPO1,2,-1.2883116650458817,0.19999999999999998,10,1.0883116650458817,0,0,10,0
49,ACH-000191,SON,0,-0.9204689735687632,0.25999999999999995,13,0.6604689735687632,3,0,10,0
50,ACH-001431,ICE1,1,-0.7794955960681142,0.21999999999999997,11,0.5594955960681143,1,0,10,0
51,ACH-000356,RAC1,15,-0.4376158569240434,0.34,17,0.0976158569240434,3,0,14,0
52,ACH-001737,NCAPD2,12,-1.2292886273848118,0.23999999999999996,12,0.9892886273848118,2,0,10,0
53,ACH-003590,CRNKL1,4,-2.169330386960583,0.4000000000000001,20,1.769330386960583,13,2,5,0
54,ACH-000371,SF3B1,7,-1.3412572803084262,0.16,8,1.1812572803084262,4,1,3,0
55,ACH-000202,STIL,8,-0.2226327660348701,0.34,17,-0.11736723396512994,6,0,11,0
56,ACH-001618,PTPN11,14,-0.5449521205881238,0.3,15,0.24495212058812382,5,0,10,0
57,ACH-000435,TRRAP,2,-1.8557460968830697,0.19999999999999998,10,1.6557460968830697,0,0,10,0
58,ACH-000391,MYC,5,-2.498093946988168,0.38000000000000006,19,2.118093946988168,15,2,2,0
59,ACH-000637,XRCC5,12,-0.7996193882507213,0.34,17,0.4596193882507213,3,0,14,0
60,ACH-000915,ZNHIT6,12,-0.5661112348979077,0.36000000000000004,18,0.20611123489790767,2,0,16,0
61,ACH-000541,PPP2R1A,15,-0.7806288599017575,0.34,17,0.44062885990175743,2,0,15,0
62,ACH-000541,KIF18A,1,-0.9781356037448176,0.21999999999999997,11,0.7581356037448176,1,0,10,0
63,ACH-000030,EIF1AX,4,-2.1443092456875847,0.16,8,1.9843092456875848,2,1,5,0
64,ACH-002142,SRSF2,5,-2.319153720515064,0.16,8,2.159153720515064,6,1,1,0
65,ACH-000581,UPF2,1,-1.5070602511137934,0.21999999999999997,11,1.2870602511137934,1,0,10,0
66,ACH-000664,MTOR,4,-1.1224042086527506,0.36000000000000004,18,0.7624042086527505,12,0,4,2
67,ACH-000630,SF3B1,9,-1.653505515814791,0.4000000000000001,20,1.253505515814791,11,2,7,0
68,ACH-000290,PPP2R1A,7,-1.0567223580533167,0.3,15,0.7567223580533167,1,0,14,0
69,ACH-000244,EIF2B3,4,-1.0826187556965463,0.16,8,0.9226187556965463,3,0,5,0
70,ACH-002705,UPF2,2,-1.104537837562945,0.36000000000000004,18,0.744537837562945,7,0,10,1
71,ACH-000627,CRNKL1,8,-1.887053914645609,0.27999999999999997,14,1.6070539146456089,7,2,5,0
72,ACH-001699,DIS3,0,-0.8484696759358984,0.25999999999999995,13,0.5884696759358985,2,0,11,0
73,ACH-000018,PCBP1,7,-1.1128961804699882,0.34,17,0.7728961804699881,13,1,2,1
74,ACH-000128,ANKRD11,14,0.0774196526914935,0.4400000000000001,22,-0.5174196526914936,3,3,16,0
75,ACH-000391,SMC5,13,-0.7247223412201076,0.32,16,0.4047223412201076,5,0,11,0
76,ACH-000581,SON,14,-1.1742886265177634,0.34,17,0.8342886265177634,2,0,15,0
77,ACH-000381,PCBP1,15,-1.9453172367653624,0.32,16,1.6253172367653623,4,0,12,0
78,ACH-000323,CNOT3,3,-1.127900538692534,0.16,8,0.967900538692534,0,0,8,0
79,ACH-001431,H3-3A,7,-1.8761008227514728,0.16,8,1.716100822751473,4,1,3,0
80,ACH-000172,PIK3CA,6,-0.552916610727439,0.4000000000000001,20,0.15291661072743895,3,1,16,0
81,ACH-000334,EIF2B3,11,-1.221313985194537,0.18,9,1.041313985194537,0,0,9,0
82,ACH-000637,RFC5,2,-1.3228217333796113,0.19999999999999998,10,1.1228217333796113,0,0,10,0
83,ACH-001699,TRAPPC8,6,-1.1642374419832195,0.16,8,1.0042374419832196,5,1,2,0
84,ACH-000202,CTNNB1,12,-0.948097404406016,0.21999999999999997,11,0.728097404406016,0,0,11,0
85,ACH-001737,DHX15,13,-1.364271847635642,0.27999999999999997,14,1.0842718476356419,2,0,12,0
86,ACH-000469,KIF18A,12,-1.815862000935063,0.23999999999999996,12,1.575862000935063,2,0,10,0
87,ACH-000188,MTOR,4,-0.935436774685792,0.16,8,0.775436774685792,3,0,5,0
88,ACH-000766,XPO1,7,-2.718445347265165,0.16,8,2.558445347265165,4,1,3,0
89,ACH-000188,NUP93,3,-1.583839550239516,0.16,8,1.423839550239516,0,0,8,0
90,ACH-002400,ERBB2,12,-0.1246411706216407,0.4000000000000001,20,-0.27535882937835937,2,2,16,0
91,ACH-000030,PPP2R1A,0,-1.054262768110123,0.25999999999999995,13,0.7942627681101231,1,0,12,0
92,ACH-001205,XPO1,7,-2.407398443438744,0.16,8,2.247398443438744,4,1,3,0
93,ACH-000961,SMC5,1,-0.8364779839093371,0.32,16,0.5164779839093372,1,0,15,0
94,ACH-000403,MED12,2,-0.7516171978432444,0.32,16,0.4316171978432444,1,0,15,0
95,ACH-000381,NCAPD2,3,-1.2298681943853993,0.16,8,1.0698681943853994,0,0,8,0
96,ACH-000676,EIF2B3,5,-1.4657281077736102,0.16,8,1.3057281077736103,6,1,1,0
97,ACH-001038,NCAPD2,2,-1.5105234142713149,0.19999999999999998,10,1.310523414271315,0,0,10,0
98,ACH-000961,DHX15,9,-1.3504002601545897,0.16,8,1.1904002601545898,1,1,6,0
99,ACH-001054,SON,2,-0.8184525253127403,0.34,17,0.47845252531274024,5,0,12,0
100,ACH-000381,RFC5,5,-1.3096870223151686,0.16,8,1.1496870223151687,0,1,7,0
101,ACH-001303,MTOR,8,-0.675580290534627,0.5200000000000001,26,0.15558029053462685,6,5,14,1
102,ACH-001528,XPO1,0,-2.018717148911429,0.25999999999999995,13,1.758717148911429,1,0,12,0
103,ACH-000550,CCND1,14,-1.0204893431461897,0.3,15,0.7204893431461896,6,0,9,0
104,ACH-000391,DHX15,11,-1.1974874047851325,0.18,9,1.0174874047851326,0,0,9,0
105,ACH-000444,POLE,11,-1.3529790160306836,0.18,9,1.1729790160306837,0,0,9,0
106,ACH-000191,ZNF407,13,-0.6958175122935516,0.34,17,0.3558175122935516,3,0,14,0
107,ACH-000766,STIL,9,-0.1852255876574578,0.36000000000000004,18,-0.17477441234254223,2,0,16,0
108,ACH-000148,DHPS,4,-0.8668816127202098,0.34,17,0.5268816127202098,5,0,12,0
109,ACH-000005,CTCF,8,-2.0529724980912167,0.16,8,1.8929724980912168,3,1,4,0
110,ACH-000959,SMC4,8,-1.9331370106992645,0.16,8,1.7731370106992645,4,0,4,0
111,ACH-003590,SON,14,-0.3815868384945261,0.34,17,0.0415868384945261,2,0,15,0
