policy,selected_dependency,hit_at_k,ndcg_at_k,mrr_at_k,query_cost,n_queries,total_reward
rl_env_oracle_select,-1.4234836145695713,1.0,1.0,1.0,0.0,0,1.4234836145695713
rl_env_query_cna_then_select,-1.3312479027107316,0.998,0.9191359801645108,0.841,0.32,16,1.0112479027107315
rl_env_query_expression_then_select,-1.3247701251511261,0.998,0.9208337321839688,0.8418333333333333,0.32,16,1.004770125151126
rl_env_query_damaging_mutation_then_select,-1.2583831270114378,0.99,0.8632223075504929,0.7625,0.32,16,0.9383831270114379
rl_env_query_cna_budget_12_then_select,-1.1666476252905944,0.975,0.7595842303574367,0.6478333333333334,0.23999999999999996,12,0.9266476252905945
rl_env_query_expression_budget_12_then_select,-1.1613904080344604,0.976,0.7609029506111322,0.6465,0.23999999999999996,12,0.9213904080344604
rl_env_query_cna_budget_8_then_select,-0.9277259722624509,0.874,0.5727226091693961,0.44516666666666665,0.16,8,0.7677259722624509
rl_env_query_expression_budget_8_then_select,-0.9271349145418194,0.875,0.5735827299362108,0.4445,0.16,8,0.7671349145418194
rl_env_query_hotspot_mutation_then_select,-1.0637160394582679,0.876,0.6466617853595681,0.5386666666666666,0.32,16,0.7437160394582678
rl_env_query_cna_budget_4_then_select,-0.5578202651084508,0.566,0.3366610981401316,0.229,0.08,4,0.4778202651084508
rl_env_query_expression_budget_4_then_select,-0.5566018905231211,0.566,0.33648445218885675,0.228,0.08,4,0.47660189052312113
rl_env_random_select,-0.1641209827489425,0.483,0.2209814715389701,0.10433333333333333,0.0,0,0.1641209827489425
rl_env_query_all_average_then_select,-1.3346462981435134,0.998,0.9208659453087585,0.8435,1.2800000000000007,64,0.05464629814351266
